Table 2-39:  Railroad and Grade-Crossing Fatalities by Victim Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(P) 2014,(P) 2015
Passengers on trains,4,3,3,8,3,58,5,0,12,6,4,14,4,3,7,3,3,16,2,5,24,3,3,6,5,6,5,17
Railroad only,4,3,3,8,3,58,5,0,12,6,2,3,4,3,7,2,3,16,2,5,24,3,3,2,5,6,5,12
Grade crossing,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5
Employees on duty,97,46,40,35,34,47,31,34,33,37,27,31,24,22,20,19,25,25,16,17,25,16,20,21,16,14,10,11
Railroad only,97,44,35,34,32,44,30,32,32,37,23,29,22,21,19,18,23,23,12,16,22,16,20,15,(R) 15,13,10,11
Grade crossing,0,2,5,1,2,3,1,2,1,0,4,2,2,1,1,1,2,2,4,1,3,0,0,6,(R) 1,1,0,0
Employees not on duty,4,2,0,1,1,4,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Railroad only,3,2,0,1,1,4,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Grade crossing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contractor employees,7,4,3,3,11,6,3,7,9,11,5,12,3,4,10,5,4,5,7,5,5,4,3,3,3,(R) 6,5,8
Railroad only,7,4,3,3,10,6,3,7,9,11,5,11,3,4,9,4,4,5,7,5,5,4,3,2,3,5,5,7
Grade crossing,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,(R) 1,0,1,0
Nontrespassersa,739,507,551,484,475,489,505,443,365,363,326,305,335,269,267,205,242,250,236,200,160,125,139,130,128,129,146,134
Railroad only,16,10,15,16,12,18,44,32,27,15,9,8,19,11,18,8,18,23,2,16,5,8,7,15,(R) 10,18,13,34
Grade crossing,723,497,536,468,463,471,461,411,338,348,317,297,316,258,249,197,224,227,234,184,155,117,132,115,(R) 118,111,133,100
Trespassers,566,474,700,663,646,675,682,660,620,646,644,570,570,673,646,635,621,588,642,624,589,548,569,530,(R) 522,(R) 544,601,596
Railroad only,457,391,543,524,533,523,529,494,471,533,536,479,463,511,540,501,475,458,511,470,457,416,440,406,(R) 410,(R) 425,470,465
Grade crossing,109,83,157,139,113,152,153,166,149,113,108,91,107,162,106,134,146,130,131,154,132,132,129,124,112,119,131,131
Volunteer employees,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Railroad only,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade crossing,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
