Bus Profile,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,(R) 2007,(R) 2008,2009,2010,2011,2012,2013,2014
Expenditures ($ thousands) ,,,,,,,,,,,,,,,,,,,,,,,,,
School bus1,"486,000","1,219,000","3,833,000","8,031,000","7,847,000","9,889,000","9,082,000","10,353,000","10,326,000","10,340,000","12,104,000","12,624,000",U,U,U,U,U,U,U,U,U,U,U,U,U
Operating revenues ($ thousands) ,,,,,,,,,,,,,,,,,,,,,,,,,
"Intercity bus, Class I2,a","463,100","721,700","1,397,378","943,268","1,161,479","1,189,235","985,537","1,080,083","1,074,582","1,326,909","1,133,822","1,117,526","1,120,422","1,345,056",U,U,U,U,U,U,U,U,U,U,U
Operating expenses ($ thousands),,,,,,,,,,,,,,,,,,,,,,,,,
"Intercity bus, Class I2,a","405,400","639,000","1,318,372","1,026,213","1,289,834","1,253,537","941,014","1,022,680","1,016,208","1,313,900","1,078,386","1,080,186","1,092,596","1,321,407",U,U,U,U,U,U,U,U,U,U,U
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,
Number of operating companies,,,,,,,,,,,,,,,,,,,,,,,,,
"Intercity bus, Class I2,a",143,71,61,31,26,24,20,22,20,18,15,15,16,36,U,U,U,U,U,U,U,U,U,U,U
"Number of vehicles, all buses3","272,129","377,562","528,789","626,987","670,423","685,503","694,781","697,548","715,540","728,777","746,125","749,548","760,717","776,550","795,274","807,053","821,959","834,436","843,308","841,993","846,051","666,064","764,509","864,534","872,027"
Number of employees4 (SIC based),,,,,,,,,,,,,,,,,,,,,,,,,
Intercity and rural bus transportation,"40,500","43,400","37,900","26,100","23,600","23,800","23,800","22,200","24,400","23,800","24,700","25,100","23,000",N,N,N,N,N,N,N,N,N,N,N,N
School buses,N,N,"79,900","111,200","125,900","131,100","132,200","136,500","141,000","146,100","146,700","147,700","148,700",N,N,N,N,N,N,N,N,N,N,N,N
Number of employees5 (NAICS based),,,,,,,,,,,,,,,,,,,,,,,,,
