"Table 1-38M:  Average Length of Haul, Domestic Freight and Passenger Modes (Kilometers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Army Corps of Engineers, Waterborne Commerce of the United States, Part 5 (New Orleans, LA: Annual Issues), section 1, table 1-4, available at http://www.navigationdatacenter.us/wcsc/wcsc.htm as of Nov. 15, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Transportation Policy Associates, Washington, DC, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-99: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Air Carrier Traffic Statistics, T-100 Segment Data (Washington, DC: Annual Issues), p. 3 and similar pages in previous issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-14: Ibid., TranStats Database, T-100 Market Data and T-100 Segment Data, special tabulation, available at http://www.transtats.bts.gov/Data_Elements.aspx?Data=3 as of Nov. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-95: American Public Transportation Association, Public Transportation Fact Book, Appendix A: Historical Tables (Washington, DC: April 2011), table 3, available at http://www.apta.com/resources/statistics/Pages/transitstats.aspx as of Aug. 18, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-14: U.S. Department of Transportation, Federal Transit Administration, National Transit Database (Washington, DC: Annual Issues), table 19 and similar tables in earlier editions, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Nov. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-85: Amtrak, personal communication, Jan. 26, 1999.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-02: Amtrak, Amtrak Annual Report (Washington, DC: 2003), Statistical Appendix.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-14: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77 and similar pages in previous editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
