"Table 1-63: U.S. Hazardous Materials Shipments by Hazard Class, 2012",,,,,,,
Hazard class and description,Value,,Tons,,Ton-miles,,Average miles per shipment
,(billion $),Percent,(millions),Percent,(billions),Percent,
Class 1.  Explosives,18,0.8,4,0.2,1,0.3,840
Class 2.  Gases,125,5.4,165,6.4,33,10.8,57
Class 3.  Flammable liquids,"2,017",86.4,"2,203",85.4,205,66.5,93
Class 4.  Flammable solids,5,0.2,11,0.4,6,1.9,565
Class 5.  Oxidizers and organic peroxides,8,0.3,12,0.5,5,1.8,437
Class 6.  Toxics (poison),15,0.7,8,0.3,4,1.2,513
Class 7.  Radioactive materials,12,0.5,S,U,0,U,34
Class 8.  Corrosive materials,76,3.2,125,4.9,38,12.3,264
Class 9.  Miscellaneous dangerous goods,58,2.5,51,2.0,16,5.2,530
Total,"2,334",100.0,"2,580",100.0,308,100.0,114
KEY: U = data are not available or less than 1 unit of measure or rounds to zero; S = data were not published because of high sampling variability or other reasons.,,,,,,,
,,,,,,,
,,,,,,,
NOTE,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,
,,,,,,,
SOURCE,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, and U.S. Department of Commerce, Census Bureau, 2012 Commodity Flow Survey, American Fact Finder, Hazardous Materials (Washington, DC:  December 2014), table CF1200H02, available at http://www.census.gov/svsd/www/cfsmain.html as of Dec. 9, 2014.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
