Table 1-43:  Long-Distance Travel in the United States by Selected Traveler Characteristics: 2001,,,,,,,,,,,,,,,,,,,,
(Roundtrips to destinations at least 50 miles away),,,,,,,,,,,,,,,,,,,,
,Persons  (thousands),,Person trips (thousands),,Person-miles (millions),,Personal-use vehicle trips (thousands),,Personal-use vehicle-miles (millions),,,,,,,,,,,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,,,,,,,,,
TOTAL,"277,208",100.0,"2,617,126",100.0,"1,360,813",100.0,"2,336,094",100.0,"760,325",100.0,,,,,,,,,,
Under 5,"19,281",7.0,"113,329",4.3,"56,136",4.1,"107,012",4.6,"37,220",4.9,,,,,,,,,,
5–17 years,"52,450",18.9,"337,984",12.9,"169,303",12.4,"297,520",12.7,"101,565",13.4,,,,,,,,,,
18–24 years,"23,918",8.6,"209,171",8.0,"97,575",7.2,"192,499",8.2,"60,386",7.9,,,,,,,,,,
25–29 years,"18,432",6.6,"192,382",7.4,"109,392",8.0,"172,075",7.4,"56,290",7.4,,,,,,,,,,
30–39 years,"43,114",15.6,"505,463",19.3,"260,673",19.2,"447,666",19.2,"136,738",18.0,,,,,,,,,,
40–49 years,"40,924",14.8,"483,005",18.5,"257,444",18.9,"428,672",18.3,"134,938",17.7,,,,,,,,,,
50–59 years,"30,498",11.0,"391,161",14.9,"204,614",15.0,"351,977",15.1,"110,109",14.5,,,,,,,,,,
60–64 years,"11,250",4.1,"123,103",4.7,"67,517",5.0,"111,692",4.8,"39,101",5.1,,,,,,,,,,
65–74 years,"18,345",6.6,"155,190",5.9,"81,500",6.0,"140,226",6.0,"53,741",7.1,,,,,,,,,,
75 years and over,"18,997",6.9,"106,337",4.1,"56,659",4.2,"86,755",3.7,"30,237",4.0,,,,,,,,,,
Median (years),33.5,N/A,37.3,NA,NA,NA,37.4,NA,NA,NA,,,,,,,,,,
"Sex, total","277,208",100.0,"2,617,126",100.0,"1,360,813",100.0,"2,336,094",100.0,"760,325",100.0,,,,,,,,,,
Male,"135,291",48.8,"1,499,967",57.3,"757,454",55.7,"1,347,123",57.7,"429,259",56.5,,,,,,,,,,
Female,"141,917",51.2,"1,117,160",42.7,"603,358",44.3,"988,971",42.3,"331,066",43.5,,,,,,,,,,
"Race, total","277,208",100.0,"2,617,126",100.0,"1,360,813",100.0,"2,336,094",100.0,"760,325",100.0,,,,,,,,,,
White,"193,338",69.7,"2,033,914",77.7,"1,058,412",77.8,"1,821,143",78.0,"595,944",78.4,,,,,,,,,,
Black,"33,877",12.2,"207,350",7.9,"91,393",6.7,"180,399",7.7,"59,363",7.8,,,,,,,,,,
Asian or Pacific Islander,"7,223",2.6,"49,559",1.9,"59,235",4.4,"39,501",1.7,"12,067",1.6,,,,,,,,,,
"American Indian, Eskimo, or Aleutian","1,316",0.5,"12,565",0.5,"5,975",0.4,"11,688",0.5,"3,693",0.5,,,,,,,,,,
Other,"39,472",14.2,"294,628",11.3,"136,480",10.0,"266,200",11.4,"84,115",11.1,,,,,,,,,,
Not reported,"1,983",0.7,"19,110",0.7,"9,318",0.7,"17,163",0.7,"5,144",0.7,,,,,,,,,,
"Ethnicity, total","277,208",100.0,"2,617,126",100.0,"1,360,813",100.0,"2,336,094",100.0,"760,325",100.0,,,,,,,,,,
Hispanic origin,"35,043",12.6,"253,100",9.7,"118,516",8.7,"227,266",9.7,"71,465",9.4,,,,,,,,,,
Not of Hispanic origin,"242,165",87.4,"2,364,026",90.3,"1,242,297",91.3,"2,108,828",90.3,"688,859",90.6,,,,,,,,,,
Household income,"277,208",100.0,"2,617,126",100.0,"1,360,813",100.0,"2,336,094",100.0,"760,325",100.0,,,,,,,,,,
