"Table 3-32:  Transportation Revenues by Mode and Level of Government, Fiscal Year (Current $ millions)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,,,,,,,
"TOTAL, all modes","94,148","97,054","100,652","112,144","128,299","127,545","125,004","130,936","132,237","135,876","148,097","154,526","164,888","164,396","158,587","161,782","172,674","180,175",,,,,,,,,
Federal ,"30,289","30,839","31,516","39,061","52,037","46,764","42,844","45,695","46,149","46,045","52,755","51,784","54,971","53,276","48,190","48,554","51,660","55,475",,,,,,,,,
State and local,"63,859","66,215","69,136","73,083","76,262","80,781","82,160","85,242","86,089","89,831","95,342","102,743","109,917","111,120","110,397","113,227","121,014","124,699",,,,,,,,,
"Highway, total","67,352","72,560","73,975","79,736","92,427","90,895","86,909","91,193","92,094","96,011","105,064","106,830","115,443","112,637","109,398","111,614","118,598","125,026",,,,,,,,,
Federal,"22,200","25,981","25,316","28,638","39,308","34,986","31,486","33,298","34,421","35,107","40,437","38,798","40,652","38,458","35,144","35,026","36,955","40,265",,,,,,,,,
State and local,"45,152","46,579","48,660","51,097","53,119","55,910","55,423","57,896","57,673","60,904","64,627","68,033","74,791","74,179","74,254","76,588","81,642","84,761",,,,,,,,,
"Air, total","14,503","11,884","13,863","19,014","22,033","22,243","23,219","24,459","24,276","23,275","25,770","27,210","29,580","30,895","27,931","28,427","29,968","31,103",,,,,,,,,
Federal,"6,294 ","3,133 ","4,492 ","8,685 ","11,093 ","10,548 ","10,112 ","11,246 ","10,696 ","9,832 ","10,961 ","11,315 ","12,187 ","12,672 ","11,109 ","10,995 ","12,003 ","12,796 ",,,,,,,,,
State and local,"8,209 ","8,751 ","9,371 ","10,329 ","10,940 ","11,695 ","13,107 ","13,213 ","13,580 ","13,443 ","14,809 ","15,895 ","17,393 ","18,223 ","16,822 ","17,432 ","17,965 ","18,307 ",,,,,,,,,
"Railroads, Total",36 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,
Federal,36 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,
"Transit, total","8,575","8,753","9,006","9,417","9,849","10,670","10,922","11,448","11,906","12,377","12,512","15,117","13,874","14,586","15,288","15,328 ","17,234 ","17,607 ",,,,,,,,,
State and local,"8,575 ","8,753 ","9,006 ","9,417 ","9,849 ","10,670 ","10,922 ","11,448 ","11,906 ","12,377 ","12,512 ","15,117 ","13,868 ","14,586 ","15,288 ","15,328 ","17,234 ","17,607 ",,,,,,,,,
"Water, total","3,640","3,814","3,768","3,939","3,952","3,680","3,895","3,758","3,895","4,150","4,687","5,290","5,920","6,202","5,871","6,293 ","6,760 ","6,317 ",,,,,,,,,
Federal,"1,717 ","1,683 ","1,669 ","1,700 ","1,597 ","1,173 ","1,188 ","1,073 ",965 ,"1,043 ","1,293 ","1,592 ","2,056 ","2,069 ","1,839 ","2,414 ","2,587 ","2,293 ",,,,,,,,,
State and local,"1,923 ","2,131 ","2,099 ","2,239 ","2,355 ","2,507 ","2,707 ","2,685 ","2,930 ","3,107 ","3,394 ","3,698 ","3,864 ","4,133 ","4,032 ","3,879 ","4,173 ","4,024 ",,,,,,,,,
"Pipeline, total",35,31,30,29,30,30,37,52,57,55,56,58,60,63,78,90 ,90 ,90 ,,,,,,,,,
Federal,35 ,31 ,30 ,29 ,30 ,30 ,37 ,52 ,57 ,55 ,56 ,58 ,60 ,63 ,78 ,90 ,90 ,90 ,,,,,,,,,
