Table 1-13:  Active U.S. Air Carrier and General Aviation Fleet by Type of Aircraft (Number of carriers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: Ibid., Calendar Year 1993. FAA-APO-95-5 (Washington, DC: 1995), table 5.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-94: Ibid., Calendar Year 1996, available at http://www.api.faa.gov/handbook96/toc96.htm as of March 31, 2000, table 5.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2015: Department of Transportation, Federal aviation administration, FAA Aerospace Forecasts, tables  21, 22, and 27, available at https://www.faa.gov/data_research/aviation/aerospace_forecasts/ as of August 08, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed Wing, Turbojet, Turboprop, Piston, Helicopter: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation, 1966 Edition. (Washington, DC: 1966), table 7.5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: Ibid., Calendar Year 1971. (Washington, DC: 1972), table 5.5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Ibid., Calendar Year 1975. (Washington, DC: Dec. 31, 1975), table 5.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: Ibid., Calendar Year 1980. (Washington, DC: Dec. 31, 1980), table 5.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: Ibid., Calendar Year 1993. FAA-APO-95-5 (Washington, DC: 1995), table 5.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-94: Ibid., Calendar Year 1996, available at http://www.api.faa.gov/handbook96/toc96.htm as of March 31, 2000, table 5.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2008: Aerospace Industries Association, Aerospace Facts and Figures (Washington DC: Annual Issues), ""Active U.S. Air Carrier Fleet,"" and similar tables in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Aviation: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965: U.S. Department of Transportation, Federal Aviation Administration, FAA Statistical Handbook of Aviation, 1966 Edition. (Washington, DC: 1966), table 5.1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: Ibid., Calendar Year 1971. (Washington, DC: 1972), table 8.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Ibid., Calendar Year 1975. (Washington, DC: Dec. 31, 1975), table 8.4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: Ibid.,  General Aviation Activity and Avionics Survey, Annual Report Calendar Year 1980, FAA-MS-81-5 (Washington, DC: December 1985), table 2-6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985: Ibid.,  Annual Summary Report 1994 Data, FAA-APO-95-10 (Washington, DC: 1996), table 1.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990: Ibid., General Aviation and Air Taxi Activity Survey, Calendar Year 1999 (Washington, DC: 2001), table 1.2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991: Ibid., General Aviation and Air Taxi Activity Survey, Calendar Year 2002 (Washington, DC: 2004), table 1.2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992-2000:  lbid., General Aviation and Air Taxi Activity Survey (Washington, Annual Issue), table 1.2, available at http://www.faa.gov/data_research/aviation_data_statistics/general_aviation/ as of July 11, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-15:  lbid., General Aviation and Air Taxi Activity Survey (Washington, Annual Issue), table 1.1, available at http://www.faa.gov/data_research/aviation_data_statistics/general_aviation/ as of November 25, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
