Table 2-7:  Transportation-Related Occupational Fatalitiesa,,,,,,,,,,,,,,,,,,,,,,,
,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001h,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
All occupational fatalities,"6,217","6,331","6,632","6,275","6,202","6,238","6,055","6,054","5,920","5,915","5,534","5,575","5,764","5,734","5,840","5,657","5,214","4,551","4,690","4,693","4,628","4,585","4,821"
"Transportation-related fatalities, totalb","2,484","2,499","2,762","2,587","2,601","2,605","2,645","2,618","2,573","2,524","2,385","2,364","2,490","2,493","2,459","2,351","2,130","1,795","1,857","1,937","1,923","1,865","1,984"
Highwayc,"1,158","1,242","1,343","1,346","1,346","1,393","1,442","1,496","1,365","1,409","1,373","1,353","1,398","1,437","1,356","1,414","1,215",985,"1,044","1,103","1,153","1,099","1,157"
Nonhighwayd,436,392,409,387,374,377,388,352,399,326,323,347,338,340,345,296,284,261,276,222,233,227,248
Aircraft,353,282,426,283,324,261,224,228,280,247,194,211,231,149,217,174,191,159,152,145,127,136,135
Pedestrian struck by vehiclee,346,365,391,388,353,367,413,377,370,383,356,337,378,391,379,345,329,268,280,316,293,294,318
Water vehiclef,109,119,94,87,119,109,112,102,84,90,71,69,91,88,96,71,76,86,60,72,63,60,55
Railwayg,66,86,81,82,74,93,60,56,71,62,64,43,50,83,65,49,34,34,45,50,38,41,57
As a percent of all occupational fatalities,,,,,,,,,,,,,,,,,,,,,,,
"Transportation-related fatalities, totalb",40.0,39.5,41.6,41.2,41.9,41.8,43.7,43.2,43.5,42.7,43.1,42.4,43.2,43.5,42.1,41.6,40.9,39.4,39.6,41.3,41.6,40.7,41.2
Highway,18.6,19.6,20.3,21.5,21.7,22.3,23.8,24.7,23.1,23.8,24.8,24.3,24.3,25.1,23.2,25.0,23.3,21.6,22.3,23.5,24.9,24.0,24.0
Nonhighway,7.0,6.2,6.2,6.2,6.0,6.0,6.4,5.8,6.7,5.5,5.8,6.2,5.9,5.9,5.9,5.2,5.4,5.7,5.9,4.7,5.0,5.0,5.1
Aircraft,5.7,4.5,6.4,4.5,5.2,4.2,3.7,3.8,4.7,4.2,3.5,3.8,4.0,2.6,3.7,3.1,3.7,3.5,3.2,3.1,2.7,3.0,2.8
Pedestrian struck by vehicle,5.6,5.8,5.9,6.2,5.7,5.9,6.8,6.2,6.3,6.5,6.4,6.0,6.6,6.8,6.5,6.1,6.3,5.9,6.0,6.7,6.3,6.4,6.6
Water vehicle,1.8,1.9,1.4,1.4,1.9,1.7,1.8,1.7,1.4,1.5,1.3,1.2,1.6,1.5,1.6,1.3,1.5,1.9,1.3,1.5,1.4,1.3,1.1
Railway,1.1,1.4,1.2,1.3,1.2,1.5,1.0,0.9,1.2,1.0,1.2,0.8,0.9,1.4,1.1,0.9,0.7,0.7,1.0,1.1,0.8,0.9,1.2
KEY: R =  revised.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"a Based on the 1992 Bureau of Labor Statistics, Occupational Injury and Illness Classification Manual.",,,,,,,,,,,,,,,,,,,,,,,
b Numbers may not add to totals because transportation categories may include subcategories not shown separately.,,,,,,,,,,,,,,,,,,,,,,,
"c Includes collisions between vehicles/mobile equipment moving in the same or opposite directions, such as in an intersection; between moving and standing vehicles/mobile equipment at the side of a roadway; or a vehicle striking a stationary object. Also includes noncollisions, e.g., jack-knifed or overturned vehicle/mobile equipment–no collision; ran off highway–no collision; struck by shifting load; sudden start or stop; not elsewhere classified. ",,,,,,,,,,,,,,,,,,,,,,,
"d Refers to farms and industrial premises. Includes collisions between vehicles/mobile equipment; vehicles/mobile equipment striking a stationary object. Also includes noncollisions such as a fall from a moving vehicle/mobile equipment, fall from and struck by vehicle/mobile equipment, overturned vehicle/mobile equipment, and loss of control of vehicle/mobile equipment. ",,,,,,,,,,,,,,,,,,,,,,,
"e Includes worker struck by vehicle/mobile equipment in roadway, on side of road, in a parking lot, or nonroad area.",,,,,,,,,,,,,,,,,,,,,,,
"f Includes collisions, explosions, fires, fall from or on ship/boat, and sinking/capsized water vehicles involved in transportation. Does not include fishing boats. ",,,,,,,,,,,,,,,,,,,,,,,
"g Includes collisions between railway vehicles, railway vehicle and other vehicle, railway vehicle and other object, and derailment. ",,,,,,,,,,,,,,,,,,,,,,,
"h Data does not include fatalities from the terrorist attacks of September 11, which totaled 2,886. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,
Percentages may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"The above categories do not define the types of jobs people had, nor the industries in which they worked. The categories define the ways in which they died. For example, a representative traveling for business reasons who is killed in a rail accident would be listed under rail. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Labor, Bureau of Labor Statistics, Census of Fatal Occupational Injuries (CFOI), available at http://www.bls.gov/iif/oshcfoi1.htm as of May 18, 2016.  ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
