Table 2-17:  Motor Vehicle Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fatalities,"36,399","47,089","52,627","44,525","51,091","43,825","44,599","41,508","39,250","40,150","40,716","41,817","42,065","42,013","41,501","41,717","41,945","42,196","43,005","42,884","42,836","43,510","42,708","41,259","37,423","33,883","32,999","32,479","33,782","(R) 32,893","(R) 32,744","35,092"
Injured persons,N,N,N,N,N,N,"3,230,666","3,096,870","3,069,603","3,149,164","3,265,928","3,465,279","3,483,319","3,347,614","3,192,035","3,236,238","3,188,750","3,032,672","2,925,758","2,888,601","2,788,378","2,698,976","2,574,664","2,490,533","2,345,737","2,217,275","2,239,074","2,216,962","2,362,175","2,312,845","2,337,707","2,443,369"
Crashes,N,N,N,N,N,N,"6,471,202","6,117,359","6,000,310","6,105,915","6,495,988","6,699,415","6,769,583","6,624,149","6,334,573","6,279,036","6,393,624","6,322,963","6,315,708","6,327,955","6,181,027","6,159,350","5,973,213","6,024,008","5,810,846","5,505,180","5,419,445","5,337,829","5,615,045","(R) 5,686,891","(R) 6,064,284","6,295,762"
Vehicle-miles (millions),"718,763","887,811","1,109,724","1,327,664","1,527,295","1,774,826","2,144,362","2,172,050","2,247,151","2,296,378","2,357,588","2,422,823","2,484,080","2,552,233","2,628,148","2,690,241","2,746,925","2,795,610","2,855,508","2,890,221","2,964,788","2,989,430","3,014,371","3,031,124","2,976,528","2,956,764","2,967,266","2,950,402","2,969,433","2,988,280","3,025,656","3,130,570"
Rates per 100 million vehicle-miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities,5.06,5.30,4.74,3.35,3.35,2.47,2.08,1.91,1.75,1.75,1.73,1.73,1.69,1.65,1.58,1.55,1.53,1.51,1.51,1.48,1.44,1.46,1.42,1.36,1.26,1.15,1.11,1.10,1.14,1.10 ,1.08,1.12
Injured persons,N,N,N,N,N,N,151,143,137,137,139,143,140,131,121,120,116,108,102,100,94,90,85,82,79,75,75,75,80,77,77,78
Crashes,N,N,N,N,N,N,302,282,267,266,276,277,273,260,241,233,233,226,221,219,208,206,198,199,195,186,183,181,189,190,200,201
KEY:  N = data do not exist; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
