Table 3-24:  Employment in Transportation and Transportation-Related Occupations,,,,,,,,,,,,,,,,,,
SOC code,Occupation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Vehicle operators, pipeline operators, and primary support",,,,,,,,,,,,,,,,,,
53-2011,"Airline pilots, copilots, and flight engineers","88,040","94,820","88,800","78,810","76,940","78,490","76,240","75,810","78,250","77,090","74,420","68,580","68,350","66,270","73,030","75,760","81,350"
53-2012,Commercial pilots,"18,780","18,040","18,380","19,570","19,940","21,370","24,860","27,120","29,180","31,250","29,180","29,900","31,630","34,990","37,340","38,170","39,760"
53-2021,Air traffic controllers,"22,620","23,350","22,990","23,410","22,610","22,260","21,590","23,240","24,180","24,260","24,420","23,970","23,580","23,260","23,060","22,860","23,130"
53-2022,Airfield operations specialists,"4,510","4,580","5,390","5,910","4,670","4,810","4,510","4,760","6,210","8,050","7,670","6,790","6,060","6,990","7,250","7,050","7,920"
53-3011,"Ambulance drivers and attendants, except emergency medical technicians","13,520","15,700","17,620","17,280","18,420","17,410","18,320","21,100","21,520","21,790","19,570","19,440","18,080","18,540","18,380","19,350","19,950"
53-3021,"Bus drivers, transit and intercity","160,210","175,470","190,530","197,090","187,900","183,710","183,450","191,120","189,050","184,160","177,510","179,700","176,190","162,840","157,830","158,050","168,620"
53-3022,"Bus drivers, school","463,860","457,050","469,100","468,790","471,130","475,430","465,880","456,570","461,590","460,100","459,480","467,610","477,400","489,750","496,110","499,440","505,560"
53-3031,Driver/sales workers,"385,210","373,660","378,220","368,730","397,630","406,910","400,530","396,680","382,360","372,720","363,050","371,670","387,950","394,110","396,470","405,810","417,660"
53-3032,"Truck drivers, heavy and tractor-trailer","1,558,400","1,577,070","1,548,480","1,520,880","1,520,740","1,553,370","1,624,740","1,673,950","1,693,590","1,672,580","1,550,930","1,466,740","1,508,620","1,556,510","1,585,300","1,625,290","1,678,280"
53-3033,"Truck drivers, light or delivery services","1,085,050","1,033,220","996,000","977,920","951,400","938,730","938,280","941,590","922,900","908,960","834,780","780,260","771,210","769,010","776,930","797,010","826,510"
53-3041,Taxi drivers and chauffeurs,"119,630","130,200","125,860","125,720","131,880","132,650","144,280","154,490","165,590","170,520","167,740","161,940","166,890","167,360","170,030","178,260","180,960"
53-4011,Locomotive engineers,"19,940","29,390","30,730","28,250","30,070","31,180","37,390","36,870","41,760","42,760","43,560","40,750","38,790","37,060","36,860","38,470","37,490"
53-4012,Locomotive firers,890,"1,040",730,710,630,620,540,560,580,970,960,"1,130","1,670","1,580","1,880","1,610","1,610"
53-4013,"Rail yard engineers, dinkey operators, and hostlers","5,070","4,020","4,840","4,600","6,020","6,170","6,970","5,820","4,950","5,480","5,360","5,600","5,060","5,170","5,140","3,900","4,460"
53-4021,"Railroad brake, signal, and switch operators","14,500","16,830","17,070","15,030","15,310","16,410","20,700","22,810","23,120","24,610","24,270","22,760","23,830","24,380","23,950","21,060","18,970"
53-4031,Railroad conductors and yardmasters,"36,680","40,380","40,910","38,070","35,120","35,720","38,330","37,110","37,540","39,580","41,540","42,700","44,280","42,740","43,100","42,900","42,330"
53-4041,Subway and street car operators,U,"3,190",U,"7,250","8,720","8,900","7,430","6,740","6,600","7,430","6,050","6,360","5,920","8,750","8,930","11,300","12,600"
53-5011,Sailors and marine oilers,"27,200","30,090","28,650","25,360","27,170","27,570","31,090","31,690","32,520","32,420","31,950","31,690","31,280","31,500","28,810","27,640","30,570"
53-5021,"Captains, mates, and pilots of water vessels","20,660","21,080","22,180","22,530","24,050","25,200","28,570","29,170","30,540","30,600","30,450","29,280","30,220","30,860","30,290","30,690","33,110"
53-5022,Motorboat operators,"4,000","3,540","3,410","3,600","3,130","2,830","2,700","2,450","3,250","3,380","3,070","2,480","2,550","3,040","3,400","4,060","3,650"
53-5031,Ship engineers,"6,800","7,370","7,470","8,020","10,230","10,330","13,240","14,190","13,710","11,190","10,850","9,470","10,010","10,760","9,930","10,060","9,940"
53-6011,Bridge and lock tenders,"6,970","4,790","4,500","3,900","3,490","3,500","3,620","3,700","4,750","4,490","4,290","3,250","3,420","3,460","3,170","3,280","3,170"
53-7071,Gas compressor and gas pumping station operators,"6,940","6,510","6,070","6,920","5,250","4,680","3,950","3,900","4,230","4,050","4,160","4,040","3,870","4,350","4,520","4,700","4,100"
53-7072,"Pump operators, except wellhead pumpers","13,480","13,730","12,920","12,360","10,540","9,810","9,970","10,030","10,400","9,280","10,310","9,440","12,150","11,870","13,170","12,170","13,390"
Transportation equipment manufacturing and maintenance occupations,,,,,,,,,,,,,,,,,,
17-2011,Aerospace engineers,"71,790","71,550","74,380","74,210","71,750","73,650","81,100","86,720","85,510","67,800","70,570","78,450","79,400","80,420","71,500","69,080","66,980"
17-2121,Marine engineers and naval architects,"4,450","4,680","4,860","4,810","6,060","6,620","6,550","7,810","6,620","6,480","5,270","5,720","5,470","6,880","6,640","7,570","7,600"
17-3021,Aerospace engineering and operations technicians,"17,270","19,850","15,570","14,700","10,650","9,260","9,950","8,280","7,870","8,540","7,940","8,480","9,290","9,750","10,540","11,230","12,890"
49-2091,Avionics technicians,"15,560","15,360","16,340","21,710","21,020","22,310","22,490","15,360","16,300","18,360","17,960","18,320","17,070","16,810","17,310","17,150","17,340"
49-2093,"Electrical and electronics installers and repairers, transportation equipment","14,700","15,930","16,650","17,320","17,130","17,390","20,560","20,480","18,160","15,860","13,900","12,830","14,410","15,530","15,340","14,160","14,210"
49-2096,"Electronic equipment installers and repairers, motor vehicles","14,250","12,480","13,210","15,200","15,070","15,490","17,650","19,510","19,310","19,980","17,090","15,630","13,610","12,590","11,900","11,460","12,470"
49-3011,Aircraft mechanics and service technicians,"125,970","135,730","135,250","125,850","113,470","112,830","115,120","118,210","118,780","116,310","112,130","117,510","117,320","119,160","115,410","116,830","124,040"
49-3021,Automotive body and related repairers,"179,960","168,170","168,630","175,370","168,630","162,820","158,160","155,500","152,790","147,200","133,290","129,730","131,040","135,610","134,650","137,140","143,040"
49-3022,Automotive glass installers and repairers,"20,520","21,240","21,550","19,710","18,040","18,150","17,760","18,650","18,340","18,330","15,920","14,020","13,690","14,780","15,910","15,670","17,160"
49-3023,Automotive service technicians and mechanics,"587,320","692,570","701,150","687,380","689,630","668,540","654,800","642,360","650,780","649,460","606,990","587,510","589,750","596,830","604,990","633,390","638,080"
49-3031,Bus and truck mechanics and diesel engine specialists,"273,320","258,800","254,420","254,470","249,230","251,430","248,280","254,850","250,370","248,620","232,810","222,770","222,940","230,030","238,150","243,080","251,750"
49-3043,Rail car repairers,"7,230","10,620","11,860","13,520","16,790","18,140","24,270","23,810","23,190","20,780","20,910","19,280","19,480","19,140","19,290","20,080","21,410"
