Table 3-12: Price Trends of Gasoline v. Other Consumer Goods and Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retail price of motor gasoline, all types (constant 2007 dollars per gallon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total service station price,1.92,2.20,3.07,2.31,1.93,1.82,1.76,1.68,1.64,1.64,1.70,1.67,1.42,1.52,1.88,1.79,1.66,1.85,2.11,2.48,2.71,2.85,3.19,2.32,2.70,3.30,3.34,3.19,3.00
Service station price excluding taxes,1.33,1.72,2.72,1.88,1.50,1.32,1.26,1.18,1.09,1.09,1.16,1.14,0.90,1.00,1.37,1.30,1.18,1.36,1.63,1.99,2.24,2.36,U,U,U,U,U,U,U
Average motor fuel taxesa,0.59,0.48,0.35,0.42,0.43,0.50,0.50,0.51,0.55,0.55,0.54,0.53,0.52,0.52,0.51,0.49,0.48,0.48,0.48,0.49,0.47,0.49,U,U,U,U,U,U,U
"Retail price of motor gasoline, all types (current dollars per gallon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total service station price,0.36,0.57,1.22,1.20,1.22,1.20,1.19,1.17,1.17,1.21,1.29,1.29,1.12,1.22,1.56,1.53,1.44,1.64,1.92,2.34,2.64,2.85,3.32,2.40,2.84,3.58,3.70,3.58,3.43
Service station price excluding taxes,0.25,0.45,1.08,0.98,0.95,0.87,0.85,0.82,0.78,0.80,0.88,0.88,0.71,0.81,1.14,1.11,1.02,1.21,1.48,1.88,2.18,2.36,U,U,U,U,U,U,U
Average motor fuel taxesa,0.11,0.12,0.14,0.22,0.27,0.33,0.34,0.35,0.39,0.40,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.43,0.44,0.46,0.46,0.49,U,U,U,U,U,U,U
Consumer price indices (1982-84 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All items,39,54,82,108,131,136,140,145,148,152,157,161,163,167,172,177,180,184,189,195,202,207,215,215,218,225,230,233,237
Food,39,60,87,106,132,136,138,141,144,148,153,157,161,164,168,173,176,180,186,191,195,203,214,218,220,228,234,237,243
Shelter,36,49,81,110,140,146,151,156,161,166,171,176,182,187,193,201,208,213,219,224,232,241,247,249,248,252,257,263,271
Apparel,59,73,91,105,124,129,132,134,133,132,132,133,133,131,130,127,124,121,120,120,120,119,119,120,120,122,126,127,128
Motor fuel,28,45,97,99,101,99,99,98,99,100,106,106,92,101,129,125,117,136,160,196,221,239,280,202,239,303,313,304,292
Medical care,34,48,75,114,163,177,190,201,211,221,228,235,242,251,261,273,286,297,310,323,336,351,364,376,388,400,415,425,435
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a State and federal taxes are weighted averages computed by the American Petroleum Institute, based on gasoline sold in the 50 states. Local taxes are excluded, but additional state sales taxes levied on motor fuel are included.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail price: Average motor fuel taxes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Petroleum Institute, Policy Analysis and Statistics, personal communications, April 2009, and August 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail price: Total service station price:,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
"1970-75: U.S. Department of Energy, Energy Information Agency, Annual Energy Review 2003 (Washington, DC: 2004), table 5.24, available at http://www.eia.doe.gov as of September 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2014: Ibid., Monthly Energy Review (Washington, DC: March 2007), table 9.4, available at http://www.eia.doe.gov as of Sept. 30, 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer price indices:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2014: U.S. Department of Labor, Bureau of Labor Statistics, Consumer Price Index-Urban (Current Series), available at http://www.bls.gov/cpi/ as of Sept. 30, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
