Table 3-27:  Total Wagea and Salary by Transportation Industry (North American Industry Classification System [NAICS] basis) (Current $ millions),,,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,,
All industries,"4,181,616","4,458,006","4,825,865","4,954,436","4,996,411","5,137,847","5,421,933","5,691,959","6,057,402","6,395,167","6,531,869","6,251,396","6,377,525","6,633,159","6,930,265","7,114,400","7,477,771",,
"Transportation and warehousing, total","145,689","154,664","164,605","167,543","165,197","166,823","176,685","183,719","193,947","204,979","206,918","192,624","195,742","207,435","219,455","225,938","240,683",,
Air ,"25,926","28,084","30,584","32,908","31,136","29,007","28,903","27,136","27,271","29,706","29,206","27,157","27,877","29,947","30,960","33,099","34,204",,
Rail,"12,683","12,702","12,524","12,215","11,971","12,265","12,956","13,721","14,407","14,894","15,882","14,569","14,225","15,462","16,962","16,238","17,205",,
Water ,"2,391","2,466","2,510","2,787","2,923","3,004","3,289","3,621","3,942","4,539","4,819","4,613","4,685","4,941","5,158","5,291","5,686",,
Truck,"44,326","46,894","49,339","49,367","48,810","49,614","53,095","56,482","59,932","61,829","60,732","54,005","54,754","58,759","62,350","64,382","69,373",,
Transit and ground passenger transportation,"7,997","8,588","8,878","8,986","9,196","9,389","10,073","10,433","11,196","11,820","12,314","12,390","12,640","13,401","13,959","14,143","15,129",,
Pipeline ,"3,097","3,223","4,245","4,238","3,279","3,192","3,178","3,188","3,598","4,061","4,067","4,176","4,484","4,812","5,707","5,129","5,544",,
Other transportation and support activitiesb,"35,000","37,600","40,151","40,294","40,330","41,671","44,541","46,804","49,657","52,280","53,269","49,878","50,790","52,790","55,208","57,063","60,916",,
Warehousing and storage,"14,268","15,106","16,375","16,747","17,551","18,681","20,651","22,334","23,945","25,849","26,629","25,836","26,288","27,323","29,152","30,592","32,627",,
KEY: R = revised.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"a Wages do not include supplements to wages and salaries such as pension, profit-sharing, and other retirement plans, and health, life, and unemployment insurance compensation.",,,,,,,,,,,,,,,,,,,
"b Comprises business establishments involved in scenic and sightseeing transportation, support activities for transportation, postal service, and couriers and messengers.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,
Data in this table are based on the 2002 NAICS codes.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, table 6.3d, available at http://www.bea.gov/ as of May 24, 2016.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
