Table 1-31: Condition of Rail Transit Infrastructure (Percent) ,,,,,,
,1995,1997,2000,(R) 2002,(R) 2004,(R) 2006
Stations,,,,,,
Excellent,14.0,11.0,1.0,3.0,7.0,12.7
Good,47.0,46.0,33.0,22.0,28.0,12.2
Adequate,12.0,15.0,50.0,18.0,14.0,40.8
Substandard,12.0,13.0,16.0,26.0,51.0,31.3
Poor,15.0,15.0,0.0,30.0,0.0,3.0
Communication Systems,,,,,,
Excellent,N,0.0,0.0,7.4,12.1,14.0
Good,N,61.0,62.0,68.6,62.7,30.5
Adequate,N,16.0,12.1,9.7,25.2,54.8
Substandard,N,12.0,14.0,6.0,0.0,0.6
Poor,N,10.0,11.9,8.3,0.0,0.0
Train Control Systems,,,,,,
Excellent,N,9.0,7.2,5.5,0.3,2.2
Good,N,52.0,56.0,65.9,44.6,37.0
Adequate,N,16.0,16.9,11.1,29.0,41.0
Substandard,N,11.0,10.3,9.7,14.1,14.4
Poor,N,13.0,9.5,7.8,12.0,5.5
Traction Power Systems,,,,,,
Excellent,N,25.0,20.7,37.0,7.6,7.0
Good,N,44.0,54.5,45.0,46.5,35.0
Adequate,N,10.0,10.6,10.8,44.5,46.5
Substandard,N,7.0,6.9,2.9,1.4,7.2
Poor,N,14.0,7.3,4.2,0.0,4.2
Revenue Collection Systems,,,,,,
Excellent,N,27.0,29.5,33.5,25.8,28.9
Good,N,33.0,31.0,56.4,53.7,30.0
Adequate,N,18.0,17.6,2.4,9.5,10.7
Substandard,N,10.0,18.1,6.9,8.0,8.8
Poor,N,12.0,3.8,0.8,3.0,21.5
Elevated structures,,,,,,
Excellent,1.0,0.0,2.0,5.1,3.1,4.6
Good,56.0,59.0,59.0,82.8,77.2,68.5
Adequate,16.0,12.0,16.0,2.5,4.1,11.7
Substandard,20.0,29.0,22.0,7.3,13.9,7.9
Poor,7.0,1.0,2.0,2.3,1.7,7.3
Underground tunnels,,,,,,
Excellent,9.0,7.0,12.0,34.2,26.4,18.2
Good,59.0,47.0,46.0,36.7,48.2,41.1
Adequate,13.0,18.0,19.0,13.0,12.4,10.5
Substandard,11.0,19.0,11.0,8.6,5.6,15.4
Poor,7.0,9.0,12.0,7.5,7.4,14.8
KEY: N = data do not exist; R = revised.,,,,,,
,,,,,,
NOTE,,,,,,
Percents may not add to 100 due to rounding.,,,,,,
,,,,,,
SOURCE,,,,,,
"U.S. Department of Transportation, Federal Transit Administration, Status of the Nation's Highways, Bridges and Transit: Conditions and Performance (Washington, DC: Biennial Issues), tables 3-35 and 3-36, available at http://www.fhwa.dot.gov/pubstats.html as of June 25, 2010.",,,,,,
,,,,,,
,,,,,,
