Table 2-33:  Transit Safety Data by Modea for All Reported Accidentsb,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
"Fatalities, total",212,215,173,191,225,179,152,185,192,190,183,197,109,120,111,106,121,149,144,155,139,126,157,164,160
Motor busc,92,80,91,79,90,69,82,100,90,91,82,89,64,73,61,49,76,76,63,54,64,69,68,79,73
Light rail,5,11,6,14,10,10,5,3,14,13,22,15,8,13,14,15,11,18,14,27,17,20,28,18,27
Heavy rail,51,59,33,37,41,43,32,28,18,21,19,26,30,17,15,7,12,25,31,50,40,25,37,40,32
Commuter rail,63,63,43,59,82,56,30,52,67,64,56,64,7,16,18,28,14,22,33,17,14,11,18,16,19
Demand responsive,0,2,0,2,2,1,3,2,2,1,4,3,0,1,0,7,7,8,3,2,3,1,5,9,8
Van pool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,0,1,2,0
Automated guideway,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Injured persons, totald","20,023","20,594","21,653","22,081","20,939","22,159","22,950","21,452","21,341","21,727","22,140","21,260","7,771","10,271","7,829","8,102","8,062","8,719","6,576","6,599","6,862","6,962","6,711","8,108","8,483"
Motor busc,"18,876","19,016","20,556","20,862","19,663","20,879","21,222","20,145","20,136","20,291","20,329","19,532","7,211","8,905","7,164","7,187","7,186","7,775","5,805","5,739","6,272","6,330","6,037","6,924","7,150"
Light rail,465,474,468,361,327,355,680,320,332,427,415,305,177,192,245,268,255,373,269,293,288,314,320,160,227
Heavy rail,296,308,273,365,309,348,431,336,261,286,425,598,90,218,158,86,94,102,62,127,80,83,110,110,102
Commuter rail,84,560,110,210,216,159,213,99,66,54,53,108,50,102,51,263,100,60,180,48,36,50,34,50,61
Demand responsive,286,200,233,224,399,395,379,499,492,632,869,679,200,836,174,280,373,383,240,343,135,177,192,814,924
Van pool,16,36,13,58,24,23,25,52,53,37,49,38,43,18,37,18,47,25,20,49,33,8,17,49,19
Automated guideway,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,7,1,0,0,18,0,1,1,0
"Accidents, totald","58,002","46,468","36,380","30,559","29,972","25,683","25,166","24,924","23,937","23,310","24,261","23,891","13,968","7,793","7,838","8,152","8,970","8,288","3,452","3,502","3,477","3,532","3,379","4,290","4,601"
Motor busc,"55,289","44,467","34,282","28,596","27,754","23,819","23,425","22,995","22,277","21,407","22,127","21,799","12,821","6,720","6,837","6,983","7,738","7,233","2,921","2,867","2,963","2,992","2,795","3,383","3,586"
Light rail,699,671,600,449,512,309,341,363,328,300,357,344,558,556,490,625,634,623,189,154,155,192,223,133,197
Heavy rail,144,188,613,662,744,637,346,325,293,396,364,328,183,152,171,117,131,142,74,85,117,110,148,128,104
Commuter rail,175,248,181,208,266,216,201,192,193,215,258,237,89,89,93,68,77,128,103,126,131,113,77,58,78
Demand responsive,"1,613",814,668,524,659,647,774,886,664,862,997,976,283,267,219,249,356,130,158,252,99,119,125,567,625
Van pool,81,79,35,119,36,54,78,160,179,130,157,207,34,9,28,110,32,31,7,17,11,6,10,20,10
Automated guideway,1,1,1,1,1,1,1,3,3,0,1,0,0,0,0,0,2,1,0,1,1,0,1,1,1
"Vehicle-miles (millions), total","2,490","2,478","2,510","2,535","2,581","2,620","2,605","2,702","2,833","2,927","3,002","3,090","3,084","3,071","3,139","3,098","3,126","3,166","3,228","3,291","3,208","3,595","3,780","3,784","3,828"
Motor busc,"1,668","1,661","1,688","1,690","1,702","1,702","1,687","1,719","1,779","1,835","1,868","1,911","1,919","1,876","1,891","1,853","1,849","1,872","1,907","1,982","1,929","1,770","1,793","1,793","1,808"
Light rail,24,27,28,27,34,34,37,41,43,48,52,53,60,64,63,67,72,80,84,49,50,82,103,98,102
Heavy rail,529,522,520,518,522,537,543,558,566,578,595,608,621,630,643,645,649,654,671,92,87,652,644,644,643
Commuter rail,187,188,188,206,210,217,203,216,242,249,253,257,255,256,279,271,283,289,275,272,272,274,278,287,294
Demand responsive,74,71,72,77,94,109,108,134,157,167,179,205,172,189,203,196,196,181,191,724,688,711,744,744,754
Van pool,8,8,13,16,18,19,25,33,44,49,52,54,56,55,58,65,77,87,99,171,181,104,213,213,222
