Table 1-9:  ADA-Accessible Rail Transit Stations by Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of rail transit / agency,Primary city served,Number of stations,,,,,,,,,,,,,,,,,,,Percent of Stations Not ADA-Accessible,,,,,,,,,,,,,,,,,,,,,,,
,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,
Heavy rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Bay Area Rapid Transit District,"San Francisco, CA",36,39,39,39,39,39,39,43,43,43,43,43,43,43,43,44,44,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Los Angeles County Metropolitan Transportation Authority ,"Los Angeles, CA",5,8,8,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Washington Metropolitan Area Transit Authority,"Washington, DC",74,75,75,76,78,83,83,83,83,86,86,86,86,86,86,86,86,86,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,,,,
Miami-Dade Transit,"Miami, FL",21,21,21,21,21,21,21,22,22,22,20,22,22,22,22,22,23,23,23,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Metropolitan Atlanta Rapid Transit Authority,"Atlanta, GA",36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Chicago Transit Authority,"Chicago, IL",140,141,141,142,142,144,144,144,144,144,144,144,143,143,143,143,145,145,145,100.0,100.0,100.0,90.1,62.0,55.6,55.6,54.2,50.0,50.0,47.9,44.4,39.9,37.8,37.1,35.7,35.2,33.1,33.1,,,,,
Massachusetts Bay Transportation Authority,"Boston, MA",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,37.7,37.7,37.7,30.2,30.2,28.3,24.5,20.8,20.8,20.8,20.8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,5.7,,,,,
Maryland Transit Administration ,"Baltimore, MD",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Metropolitan Transportation Authority New York City Transit,"New York, NY",468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,94.0,93.6,93.6,93.4,91.2,91.2,90.6,89.3,88.5,86.1,85.3,84.0,82.9,82.3,81.2,81.4,79.9,79.5,77.8,,,,,
Port Authority Trans-Hudson Corporation ,"Jersey City, NJ",13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,53.8,53.8,53.8,53.8,53.8,53.8,54.5,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,,,,,
