Table 4-10:  Estimated Consumption of Alternative and Replacement Fuels for Highway Vehicles (Thousand gasoline-equivalent gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,
TOTAL fuel consumptiona ,"134,230,631","135,912,964","140,718,522","144,774,683","148,180,046","151,597,859","156,838,150","161,210,087","163,032,407","165,201,691","169,983,219","177,697,941","180,698,532","182,185,778","184,810,803","185,593,715","176,509,233","172,518,178","174,463,984","171,042,834",,,,,,,,,,
"Alternative fuels, total","229,631","293,334","281,152","276,643","295,616","312,589","323,790","302,287","322,037","348,421","378,589","402,941","428,532","420,778","417,803","414,715","430,329","431,107","457,755","515,920",,,,,,,,,,
Liquefied petroleum gases,"208,142","264,655","248,467","232,701","239,158","238,356","241,386","209,817","212,576","215,876","223,143","224,697","211,883","188,171","173,130","152,360","147,784","129,631","126,354","124,457",,,,,,,,,,
Compressed natural gas,"16,823","21,603","24,160","35,162","46,923","65,192","72,412","79,620","86,475","104,496","120,670","133,222","158,903","166,878","172,011","178,565","189,358","199,513","210,007","220,247",,,,,,,,,,
Liquefied natural gas,585,"1,901","2,345","2,759","3,247","3,714","5,343","5,828","7,259","8,921","9,382","13,503","20,888","22,409","23,474","24,594","25,554","25,652","26,072","26,242",,,,,,,,,,
"Methanol, 85%b","1,069","1,593","2,340","2,023","1,775","1,554","1,212","1,073",585,439,337,N,N,N,N,N,N,N,N,N,,,,,,,,,,
"Methanol, neat","2,547","3,166","3,190","2,150",347,347,449,447,0,0,0,0,N,N,N,N,N,N,N,N,,,,,,,,,,
"Ethanol, 85%b",21,48,80,190,694,"1,280","1,727","3,916","12,071","14,623","17,783","26,376","31,581","38,074","44,041","54,091","62,464","71,213","90,323","137,165",,,,,,,,,,
"Ethanol, 95%b",85,80,140,995,"2,699","1,136",59,62,13,0,0,0,N,N,N,N,N,N,N,N,,,,,,,,,,
Electricityc,359,288,430,663,773,"1,010","1,202","1,524","3,058","4,066","7,274","5,141","5,269","5,219","5,104","5,037","5,050","4,956","4,847","7,635",,,,,,,,,,
Hydrogen,N,N,N,N,N,N,N,N,N,N,N,2,8,25,41,66,117,140,152,174,,,,,,,,,,
Other Fuels,N,N,N,N,N,N,N,N,N,N,N,0,0,2,2,2,2,2,0,0,,,,,,,,,,
Biodiesel,N,N,N,N,N,N,N,N,"6,816","7,076","16,917","18,220","27,616","93,281","267,623","367,764","324,329","(R) 334,809","(R) 270,107","910,968",,,,,,,,,,
Oxygenates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl-tertiary-butyl-etherd,"1,175,000","2,069,200","2,018,800","2,691,200","2,749,700","3,104,200","2,903,400","3,402,600","3,296,100","3,352,200","2,383,000","2,368,400","1,877,300","1,654,500","435,000",0,0,0,0,0,,,,,,,,,,
Ethanol in gasohol,"701,000","760,000","845,900","910,700","660,200","830,700","889,500","950,300","1,085,800","1,143,300","1,413,600","1,919,572","2,414,167","2,765,663","3,729,168","4,694,304","6,442,781","7,343,133","8,527,431","8,563,841",,,,,,,,,,
"Traditional fuels, total","134,001,000","135,619,630","140,437,370","144,498,040","147,884,430","151,285,270","156,514,360","160,907,800","162,710,370","164,853,270","169,604,630","177,295,000","180,270,000","181,765,000","184,393,000","185,179,000","176,078,904","172,087,071","174,006,229","170,526,914",,,,,,,,,,
Gasolinee,"110,135,000","111,323,000","113,144,000","115,943,000","117,783,000","119,336,000","122,849,000","125,111,000","125,720,000","127,768,000","131,299,000","135,330,000","138,283,000","138,723,000","140,146,000","140,646,000","134,644,492","134,385,175","134,686,678","130,597,071",,,,,,,,,,
Dieself,"23,866,000","24,296,630","27,293,370","28,555,040","30,101,430","31,949,270","33,665,360","35,796,800","36,990,370","37,085,270","38,305,630","41,965,000","41,987,000","43,042,000","44,247,000","44,533,000","41,434,412","37,701,896","39,319,551","39,929,843",,,,,,,,,,
KEY:  N = data do not exist; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Total fuel consumption is the sum of Alternative fuels, Gasoline, and Diesel. Oxygenate consumption is included in Gasoline consumption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
