Table 1-66:  Flight Operations Arriving On Time by the Largest U.S. Air Carriersa,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
On-time flight operations (percent),79.4,82.5,82.3,81.6,81.5,78.6,74.5,77.7,77.2,76.1,72.6,77.4,82.1,82.0,78.1,77.4,75.4,73.4,76.0,79.5,79.8,79.6,81.9,78.3,76.2,79.4
"a Data include nonstop scheduled service between points within the United States (including territories) by U.S. air carriers with at least 1% of the total domestic scheduled service passenger revenues and those carriers that report voluntarily. In 2010, the air carriers were AirTran, Alaska, American, American Eagle, Atlantic Southeast, Comair, Continental, Delta, ExpressJet, Frontier, Hawaiian, JetBlue, Mesa, Pinnacle, SkyWest, Southwest, United, and US Airways.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
A flight is considered on time if it arrived less than 15 minutes after the scheduled time shown in the carriers' Computerized Reservations Systems. Canceled and diverted operations are counted as late. ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Since merging with Delta, data for Northwest Airlines are included under Delta as of January 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2011, Comair and Pinnacle Airlines are no longer ranked in the source. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2012, data of the merged operations of United Air Lines and Continental Airlines are combined, and appear only as United Airlines data.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2012, data of the merged operations of ExpressJet Airlines and Atlantic Southeast Airlines are combined, and appear only as ExpressJet Airlines data.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Endeavor Air, formerly Pinnacle Airlines, was ranked for the first time in 1st Quarter of 2013.  ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2014, the American Airlines and US Airways data are combined as American Airlines; the Southwest Airlines and AirTran Airways data are combined as Southwest Airlines.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Office of Aviation Enforcement and Proceedings, Aviation Consumer Protection Division, Air Travel Consumer Report (Washington, DC: Annual February Issues), table 1a, available at http://www.dot.gov/airconsumer/air-travel-consumer-reports as of Aug. 8, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
