Table 4-7:  Domestic Demand for Gasoline (Million gallons) by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TOTAL demand,"60,761","71,187","89,601","102,996","104,838","107,550","113,606","112,222","114,883","116,579","118,717","120,253","122,595","124,235","127,978","131,781","131,891","133,740","138,041","139,156","141,146","140,549","139,794","139,897","135,976","136,696","137,706","135,145 ","134,970","135,141","137,527"
Highway,"55,429","66,979","85,598","99,354","101,183","103,545","109,529","107,913","110,974","113,668","115,682","117,061","119,515","120,938","124,694","128,743","128,884","129,682","133,736","134,643","136,419","135,664","134,882","135,414","132,205","132,878","133,725","131,274 ","131,252","131,299","133,648"
"Nonhighway, total","5,332","4,208","4,003","3,642","3,655","4,005","4,076","4,309","3,908","2,911","3,035","3,192","3,081","3,297","3,284","3,038","3,007","4,058","4,305","4,514","4,727","4,885","4,912","4,484","3,771","3,818","3,981","3,871","3,718","3,842","3,879"
Agriculture,"2,292","1,963","1,932","1,565","1,059","1,081",681,779,806,846,912,927,918,984,907,703,652,802,832,853,"1,094","1,078","1,229","1,061",634,676,784,799,875,655,644
Aviationa,"1,324",501,393,410,413,382,361,339,344,340,364,367,344,335,351,322,296,356,342,304,314,332,355,362,298,326,240,221,193,213,176
Marine,61,96,598,730,"1,052","1,053","1,300","1,710","1,319",874,897,"1,060",994,987,956,"1,098","1,124",994,"1,081","1,108","1,033","1,262","1,237","1,222","1,136","1,130","1,167","1,104","1,093","1,123","1,419"
Otherb,"1,656","1,647","1,080",938,"1,131","1,490","1,733","1,482","1,439",850,862,838,825,990,"1,070",915,934,"1,907","2,051","2,249","2,286","2,213","2,090","1,840","1,704","1,685","1,790","1,747","(R) 1,558","(R) 1,853","1,639"
KEY:  R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Does not include aviation jet fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes state, county, and municipal use, industrial and commercial use, construction use, and miscellaneous.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All nonhighway uses of gasoline were estimated by the U.S. Department of Transportation, Federal Highway Administration.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics, Summary to 1995 (Washington, DC: 1996), table MF-221, available at  http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 29, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2001: Ibid., Highway Statistics (Washington, DC: Annual Issues), table MF-21, available at  http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 29, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-07: Ibid., personal communication, June 21, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008-14: Ibid., Highway Statistics (Washington, DC: Annual Issues), table MF-21, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonhighway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2001: Ibid., Highway Statistics (Washington, DC: Annual Issues), tables MF-21 and MF-24, available at  http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Feb. 29, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-07: Ibid., personal communication, June 21, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008-14:  Ibid., Highway Statistics (Washington, DC: Annual Issues), tables MF-21 and MF-24, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
