Table 1-46: Air Passenger Travel Departures from the United States to Selected Foreign Countries (Thousands of passengers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
TOTAL departing passengers,"12,053","19,256","22,487","42,183","40,820","44,800","46,936","49,046","52,582","56,499","60,168","62,578","66,454","71,546","65,154","62,612","62,848","70,521","74,986","77,318","80,272","80,426","75,727","79,879","83,121","86,661","90,815","95,525","101,560"
United States carriers,"5,912","9,369","10,696","21,599","21,286","23,507","24,982","25,687","27,049","28,780","29,773","30,902","32,398","35,031","32,458","31,911","32,416","37,300","40,504","42,397","44,620","44,936","41,913","44,565","45,844","46,956","48,453","50,030","51,567"
Foreign carriers,"6,141","9,886","11,791","20,584","19,534","21,293","21,953","23,359","25,534","27,719","30,396","31,676","34,056","36,515","32,696","30,701","30,433","33,221","34,482","34,921","35,652","35,490","33,814","35,314","37,277","39,705","42,363","45,496","49,993"
Selected countries of debarkationa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,N,N,N,"6,686","6,104","6,455","6,514","6,415","6,983","7,690","8,073","8,440","8,649","9,076","8,538","8,481","8,526","9,663","10,296","10,758","11,002","11,050","10,263","11,110","11,577","12,120","12,628","13,444","13,777"
Mexico,"1,525","2,886","2,671","4,919","5,141","5,482","5,494","5,696","5,568","6,345","6,890","7,168","7,696","8,370","7,655","7,380","7,810","9,047","9,872","9,907","10,095","9,933","8,632","9,119","9,282","9,608","10,441","11,125","12,860"
United Kingdom,"1,446","2,840","3,322","5,205","4,725","5,473","5,801","5,882","6,288","6,865","7,542","8,394","8,929","9,485","8,414","8,278","8,240","8,928","9,089","9,352","9,249","8,960","8,126","7,893","8,387","8,460","8,587","8,732","9,159"
Japan,"1,183","1,602","2,255","5,290","4,994","5,411","5,314","5,743","6,547","7,065","7,395","7,014","7,222","7,569","6,518","6,280","5,592","6,486","6,703","6,344","5,979","5,594","5,075","5,320","5,034","5,707","5,797","5,573","5,452"
Germany,649,"1,178","1,539","2,337","2,268","2,634","2,775","2,808","2,975","3,066","3,287","3,386","3,607","3,847","3,402","3,316","3,471","3,914","4,229","4,398","4,797","4,837","4,585","4,728","4,765","4,878","5,063","5,091","5,074"
