Table 2-23: Truck Occupant Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Fatalities, total","5,817","8,748","7,666","9,306","9,052","8,683","9,116","9,574","10,216","10,553","10,972","11,447","12,024","12,280","12,431","12,963","13,272","13,440","13,841","13,566","13,263","11,498","10,811","10,312","9,942","10,115","(R) 9,882","9,753"
Light,"4,856","7,486","6,689","8,601","8,391","8,098","8,511","8,904","9,568","9,932","10,249","10,705","11,265","11,526","11,723","12,274","12,546","12,674","13,037","12,761","12,458","10,816","10,312","9,782","9,302","9,418","(R) 9,187","9,096"
Large,961,"1,262",977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,(R) 695,657
"Injured persons, total",N,N,N,"547,000","591,000","578,000","633,000","662,000","753,000","794,000","786,000","791,000","880,000","917,000","890,000","906,000","916,000","927,000","899,000","880,000","865,000","791,000","776,000","753,000","751,000","788,000","774,000","809,000"
Light,N,N,N,"505,000","563,000","545,000","601,000","631,000","722,000","761,000","755,000","763,000","847,000","887,000","861,000","879,000","889,000","900,000","872,000","857,000","841,000","768,000","759,000","733,000","728,000","762,000","750,000","782,000"
Large,N,N,N,"42,000","28,000","34,000","32,000","30,000","30,000","33,000","31,000","29,000","33,000","31,000","29,000","26,000","27,000","27,000","27,000","23,000","23,000","23,000","17,000","20,000","23,000","25,000","24,000","27,000"
"Trucks involved in crashes, total",N,N,N,"2,784,000","2,809,000","2,853,000","3,139,000","3,412,000","3,568,000","3,756,000","3,835,000","3,805,000","4,151,000","4,308,000","4,348,000","4,423,000","4,516,000","4,570,000","4,593,000","4,541,000","4,605,000","4,343,000","4,246,000","4,051,000","3,912,000","4,143,000","4,211,000","4,622,000"
Light,N,N,N,"2,399,000","2,479,000","2,477,000","2,742,000","2,951,000","3,191,000","3,363,000","3,397,000","3,393,000","3,677,000","3,851,000","3,918,000","3,988,000","4,059,000","4,154,000","4,151,000","4,156,000","4,192,000","3,963,000","3,950,000","3,775,000","3,625,000","3,810,000","3,869,000","4,184,000"
Large,N,N,N,"385,000","331,000","376,000","397,000","460,000","377,000","394,000","438,000","412,000","475,000","457,000","429,000","434,000","457,000","416,000","442,000","385,000","413,000","380,000","296,000","276,000","287,000","333,000","342,000","438,000"
"Vehicle-miles (millions), total","285,604","403,966","512,283","701,901","745,467","795,781","835,241","881,731","928,127","970,226","1,016,373","1,058,331","1,103,355","1,145,739","1,182,329","1,225,362","1,260,320","1,317,910","1,355,087","1,379,210","1,440,539","1,416,562","1,411,215","1,427,267","(R) 1,548,242","(R) 1,555,781","(R) 1,568,553","1,593,590"
Light,"204,274","295,475","388,779","555,659","595,924","642,397","675,353","711,515","749,971","787,255","824,896","861,951","900,667","940,219","973,401","1,010,759","1,042,444","1,097,099","1,132,564","1,156,697","1,136,361","1,105,882","1,122,909","1,140,740","(R) 1,280,648","(R) 1,286,574","(R) 1,293,536","1,314,458"
Large,"81,330","108,491","123,504","146,242","149,543","153,384","159,888","170,216","178,156","182,971","191,477","196,380","202,688","205,520","208,928","214,603","217,876","220,811","222,523","222,513","304,178","310,680","288,306","286,527","267,594","269,207","(R) 275,017","279,132"
Rates per 100 million vehicle-miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
