Table 3-7: Contributions to U.S. Gross Domestic Product (GDP): Selected Industries (Billions of current dollars)            ,,,,,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
"GDP by industry, total","9,089","9,661","10,285","10,622","10,978","11,511","12,275","13,094","13,856","14,478","14,719","14,419","14,964","15,518","16,155","16,663","17,348","17,947",,,
"Agriculture, forestry, fishing, and hunting",100,93,99,100,96,116,143,129,128,142,155,138,160,197,186,225,215,196,,,
Mining,81,84,111,125,113,140,168,227,273,314,402,290,332,399,411,441,454,305,,,
Utilities,164,180,180,184,180,187,203,201,230,235,238,251,267,272,263,271,281,288,,,
Construction,380,418,462,488,495,527,588,654,698,715,653,577,542,547,584,620,664,717,,,
"Manufacturing, durable goods",853,877,927,835,835,866,909,960,"1,005","1,030",995,874,957,"1,004","1,053","1,082","1,126","1,175",,,
"Manufacturing, nondurable goods",582,617,628,643,638,665,711,745,799,824,820,853,874,903,930,943,972,993,,,
Wholesale trade,566,586,625,618,617,647,704,759,816,861,878,823,869,907,963,"1,002","1,045","1,080",,,
Retail trade,636,662,696,714,738,776,803,849,878,878,856,842,869,892,933,968,998,"1,050",,,
Transportation and warehousing,278,288,306,308,305,321,351,375,408,410,422,399,425,447,467,484,506,528,,,
Information,436,486,472,501,549,564,621,642,649,702,731,705,730,728,738,794,825,868,,,
"Finance, insurance, real estate, rental, and leasing","1,723","1,853","1,992","2,157","2,246","2,332","2,424","2,641","2,771","2,877","2,805","2,874","2,952","3,052","3,229","3,295","3,471","3,636",,,
Professional and business services,919,"1,003","1,111","1,162","1,196","1,248","1,341","1,443","1,542","1,657","1,753","1,661","1,730","1,813","1,913","1,953","2,057","2,192",,,
"Educational services, health care, and social assistance",606,642,682,734,791,845,906,950,"1,013","1,065","1,145","1,214","1,248","1,287","1,337","1,373","1,420","1,492",,,
"Arts, entertainment, recreation, accommodation, and food services",321,353,386,389,413,432,461,481,510,532,535,522,541,561,597,626,660,704,,,
"Other services, except government",249 ,261 ,280 ,267 ,286 ,285 ,299 ,312 ,326 ,331 ,331 ,330 ,332 ,339 ,355 ,363 ,382 ,400,,,
"Government, total","1,195","1,257","1,329","1,398","1,478","1,560","1,647","1,727","1,810","1,905","2,002","2,066","2,138","2,170","2,198","2,225","2,275","2,324",,,
"Government, federal",395,405,422,429,461,496,524,550,575,602,633,664,701,716,719,708,718,729,,,
"Government, state and local",801,853,907,969,"1,017","1,064","1,123","1,177","1,235","1,303","1,369","1,402","1,437","1,453","1,479","1,516","1,557","1,594",,,
Percent of GDP,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, fishing, and hunting",1.10,0.96,0.96,0.94,0.87,1.01,1.16,0.98,0.93,0.98,1.05,0.95,1.07,1.27,1.15,1.35,1.24,1.09,,,
Mining,0.90,0.87,1.07,1.18,1.03,1.22,1.37,1.73,1.97,2.17,2.73,2.01,2.22,2.57,2.54,2.65,2.62,1.70,,,
Utilities,1.80,1.86,1.75,1.73,1.64,1.62,1.65,1.54,1.66,1.62,1.61,1.74,1.78,1.75,1.63,1.62,1.62,1.61,,,
Construction,4.19,4.33,4.49,4.59,4.51,4.58,4.79,5.00,5.04,4.94,4.44,4.00,3.62,3.52,3.61,3.72,3.83,3.99,,,
"Manufacturing, durable goods",9.38,9.08,9.01,7.86,7.60,7.52,7.40,7.33,7.26,7.11,6.76,6.06,6.39,6.47,6.52,6.49,6.49,6.55,,,
"Manufacturing, nondurable goods",6.41,6.39,6.11,6.06,5.81,5.78,5.79,5.69,5.77,5.69,5.57,5.91,5.84,5.82,5.76,5.66,5.60,5.53,,,
Wholesale trade,6.22,6.07,6.08,5.82,5.62,5.62,5.73,5.80,5.89,5.95,5.96,5.71,5.80,5.85,5.96,6.01,6.02,6.02,,,
Retail trade,6.99,6.85,6.76,6.72,6.73,6.74,6.54,6.48,6.34,6.06,5.82,5.84,5.81,5.75,5.77,5.81,5.75,5.85,,,
Transportation and warehousing,3.06,2.98,2.97,2.90,2.78,2.79,2.86,2.87,2.94,2.83,2.87,2.77,2.84,2.88,2.89,2.90,2.92,2.94,,,
Information,4.79,5.03,4.59,4.72,5.00,4.90,5.06,4.90,4.68,4.85,4.96,4.89,4.88,4.69,4.57,4.76,4.75,4.84,,,
"Finance, insurance, real estate, rental, and leasing",18.96,19.18,19.37,20.30,20.46,20.26,19.75,20.17,20.00,19.87,19.05,19.93,19.72,19.67,19.99,19.78,20.01,20.26,,,
Professional and business services,10.12,10.38,10.80,10.94,10.89,10.84,10.92,11.02,11.13,11.45,11.91,11.52,11.56,11.68,11.84,11.72,11.86,12.22,,,
"Educational services, health care, and social assistance",6.66,6.64,6.63,6.91,7.21,7.34,7.38,7.25,7.31,7.35,7.78,8.42,8.34,8.29,8.27,8.24,8.18,8.31,,,
"Arts, entertainment, recreation, accommodation, and food services",3.53,3.66,3.75,3.67,3.76,3.75,3.76,3.68,3.68,3.68,3.63,3.62,3.61,3.62,3.69,3.75,3.81,3.92,,,
"Other services, except government",2.74 ,2.70 ,2.72 ,2.51 ,2.61 ,2.48 ,2.43 ,2.38 ,2.35 ,2.28 ,2.25 ,2.29 ,2.22 ,2.18 ,2.20 ,2.18 ,2.20 ,2.23,,,
"Government, total",13.15,13.02,12.92,13.16,13.46,13.55,13.42,13.19,13.07,13.16,13.60,14.33,14.29,13.98,13.60,13.35,13.11,12.95,,,
"Government, federal",4.34,4.19,4.10,4.04,4.20,4.31,4.27,4.20,4.15,4.16,4.30,4.60,4.69,4.62,4.45,4.25,4.14,4.06,,,
"Government, state and local",8.81,8.83,8.82,9.12,9.27,9.24,9.15,8.99,8.91,9.00,9.30,9.72,9.60,9.36,9.16,9.10,8.97,8.88,,,
,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, Industry Economic Accounts, available at http://www.bea.gov/iTable/iTable.cfm?ReqID=51&step=1#reqid=51&step=3&isuri=1&5102=1 as of April 21, 2016. ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
