Table 1-3:  Number of U.S. Airportsa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TOTAL airportsb,"15,161","16,319","17,490","17,581","17,846","18,317","18,343","18,224","18,292","18,345","18,770","19,098","19,281","19,356","19,572","19,581","19,820","19,854","19,983","20,341","19,930","19,750","19,802","19,782","19,711","(R) 19,457","19,299"
"Public use, total","4,814","5,858","5,589","5,551","5,545","5,538","5,474","5,415","5,389","5,357","5,352","5,324","5,317","5,294","5,286","5,286","5,288","5,270","5,233","5,221","5,202","5,178","5,175","5,172","5,171","5,155","5,145"
"Lighted runways, percent",66.2,68.1,71.4,71.9,72.3,72.8,73.5,74.3,74.5,74.6,74.8,76.1,75.9,76.2,76.1,76.2,76.3,76.8,77.2,U,U,U,U,U,U,U,U
"Paved runways, percent",72.3,66.7,70.7,71.5,71.6,72.2,72.9,73.3,73.7,74.0,74.2,74.2,74.3,74.6,74.5,74.5,74.5,74.8,75.3,U,U,U,U,U,U,U,U
"Private use, total","10,347","10,461","11,901","12,030","12,301","12,779","12,869","12,809","12,903","12,988","13,418","13,774","13,964","14,062","14,286","14,295","14,532","14,584","14,757","14,839","14,451","14,298","14,353","14,339","14,269","14,009","13,863"
"Lighted runways, percent",15.2,9.1,7.0,6.8,6.6,6.3,6.2,6.4,6.4,6.4,6.3,6.7,7.2,8.0,8.3,8.6,9.0,9.2,9.5,U,U,U,U,U,U,U,U
"Paved runways, percent",13.3,17.4,31.5,32.0,32.2,32.7,33.0,33.0,32.9,33.0,33.2,31.8,32.0,32.4,32.4,32.7,32.8,33.2,33.3,U,U,U,U,U,U,U,U
Military,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,281,277,274,274,271,271,289,286
TOTAL airports,"15,161","16,319","17,490","17,581","17,846","18,317","18,343","18,224","18,292","18,345","18,770","19,098","19,281","19,356","19,572","19,581","19,820","19,854","19,983","20,341","19,930","19,750","19,802","19,782","19,711","(R) 19,457","19,299"
"Certificatedc, total",730,700,680,669,664,670,672,667,671,660,660,655,651,635,633,628,599,575,604,565,560,559,551,547,542,542,537
Civil,U,U,U,U,U,U,577,572,577,566,566,565,563,560,558,555,542,U,U,U,U,U,U,U,U,U,U
Military,U,U,U,U,U,U,95,95,94,94,94,90,88,75,75,73,57,U,U,U,U,U,U,U,U,U,U
"General aviation, total ","14,431","15,619","16,810","16,912","17,182","17,647","17,671","17,557","17,621","17,685","18,110","18,443","18,630","18,721","18,939","18,953","19,221","19,279","19,379","19,776","19,370","19,191","19,251","19,235","19,169","(R) 18,915","18,762"
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes civil and joint-use civil-military airports, heliports, STOL (short takeoff and landing) ports, and seaplane bases in the United States and its territories. Sole-use military airports are included beginning in 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,
b Total airports in 2006 does not sum from Public and Private based on the source data.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Certificated airports serve air-carrier operations with aircraft seating more than 9 passengers but less than 31 passenger seats. As of 2005, the Federal Aviation Administration (FAA) no longer certificates military airports. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Details may not add up to totals due to rounding in the source.



",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2011: U.S. Department of Transportation, Federal Aviation Administration, Administrator's Fact Book (Washington, DC), available at http://www.faa.gov/about/office_org/headquarters_offices/aba/admin_factbook/ as of Aug. 15, 2012. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-14: U.S. Department of Transportation, Federal Aviation Administration, personal communication, as of Aug. 21, 2014, Aug. 31, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
