Table 4-19M:  U.S. Government Energy Consumption by Agency and Source (Petajoules),,,,,,,,,
,,,,,,,,,
,Petroleum,,,,,Electricity,Natural gas,Coal and otherd,Total
,Motor gasoline, Distillate and residual fuel oil,Jet fuel and aviation gas,Otherc,Total,,,,
"FY 2003, total",43.3,179.9,490.9,6.3,720.6,185.9,132.4,38.1,"1,077.0"
Agriculture,2.1,0.4,0.0,0.7,3.1,2.5,1.3,0.3,7.3
Defense,15.6,157.8,483.3,4.0,660.7,95.8,72.6,26.2,855.2
Energy,0.9,1.9,Z,0.1,2.8,17.1,6.6,3.4,30.0
GSA,0.1,0.1,0.0,0.0,0.2,9.5,7.2,1.7,18.6
Health and Human Services,0.5,0.9,0.0,0.1,1.4,3.4,3.5,1.2,9.6
Interior,2.3,1.1,0.1,0.7,4.2,2.3,1.2,0.1,7.8
Justice,4.3,0.4,1.4,0.0,6.2,6.6,8.2,0.7,21.5
NASA,0.2,0.4,0.6,0.1,1.3,5.5,2.7,0.8,10.2
Postal Service,12.2,4.8,0.0,0.2,17.3,20.6,9.9,0.7,48.2
Transportation,0.7,0.3,0.6,0.1,1.5,3.0,0.7,0.0,5.3
Veterans Affairs,0.9,1.8,0.0,0.0,2.7,9.7,14.8,1.8,28.9
Othera,3.9,10.1,4.9,0.3,19.2,10.0,4.0,1.1,34.3
"FY 2010, total",(R) 48.6,(R) 150.1,508.2,(R) 4.5,(R) 711.5,(R) 184.9,(R) 122.6,(R) 35.0,"(R) 1,054.0"
Agriculture,2.1,0.6,(R) 0.0,0.4,3.0,1.8,1.3,0.3,6.4
Defense,17.6,131.0,501.6,2.6,652.9,(R) 97.8,69.1,(R) 23.0,(R) 842.9
Energy,0.6,1.5,(R) 0.2,0.4,2.7,(R) 16.2,6.7,(R) 4.5,(R) 30.0
GSA,0.1,0.1,0.0,Z,0.2,9.4,6.6,1.7,17.8
Health and Human Services,0.2,0.6,0.0,0.1,0.8,3.2,5.6,0.1,9.8
Interior,2.0,1.2,Z,0.4,3.6,(R) 2.6,1.0,0.8,7.9
Justice,2.7,0.3,0.3,0.1,3.2,5.1,6.4,0.1,(R) 14.9
NASA,0.1,0.3,0.8,0.1,1.1,(R) 5.1,2.5,(R) 0.8,9.6
Postal Service,13.7,4.4,0.0,0.3,18.4,16.9,4.3,0.5,(R) 40.1
Transportation,0.6,0.2,0.5,Z,1.4,(R) 3.8,0.3,(R) 0.0,5.4
Veterans Affairs,0.9,1.0,0.0,0.1,2.0,(R) 10.5,14.1,2.0,28.6
Otherb,(R) 8.1,(R) 9.0,4.8,0.3,(R) 22.2,(R) 12.6,(R) 4.5,(R) 1.3,(R) 40.6
"FY 2011P, total",49.8,158.6,506.6,4.5,719.4,185.7,119.1,34.1,1058.3
Agriculture,2.5,0.6,0.9,0.4,4.4,1.7,1.6,0.2,7.9
Defense,18.7,138.5,499.4,2.5,659.0,98.7,65.0,21.1,843.8
Energy,0.7,2.3,0.2,0.4,3.4,17.0,7.0,4.4,31.7
GSA,0.1,0.1,0.0,Z,0.2,9.0,6.7,1.7,17.5
Health and Human Services,0.2,0.6,0.0,0.1,0.9,3.3,5.6,0.2,10.0
Interior,1.9,1.3,Z,0.2,3.5,2.6,1.1,0.7,7.9
Justice,2.8,0.3,0.7,0.2,3.9,5.0,4.0,0.4,13.2
NASA,0.1,0.2,0.7,0.1,1.0,5.1,2.4,1.0,9.6
Postal Service,14.6,4.6,0.0,0.3,19.4,16.0,6.0,0.7,42.1
Transportation,0.4,0.1,0.5,Z,1.0,3.9,0.8,0.7,6.4
Veterans Affairs,1.0,1.0,0.0,0.1,2.2,10.8,14.3,1.7,29.0
Otherb,6.9,9.0,4.3,0.3,20.5,12.7,4.7,1.4,39.3
KEY: FY = fiscal year; GSA = General Services Administration; NASA = National Aeronautics and Space Administration; P = preliminary; R = revised; Z = value too small to report.,,,,,,,,,
"a Includes National Archives and Records Administration, U.S. Department of Commerce, U.S. Department of Labor, U.S. Department of State, Environmental Protection Agency, Federal Communications Commission, Federal Trade Commission, Panama Canal Commission, Equal Employment Opportunity Commission, Nuclear Regulatory Commission, Office of Personnel Management, U.S. Department of Housing and Urban Development,  U.S. Department of the Treasury, Railroad Retirement Board, Tennessee Valley Authority, Federal Emergency Management Agency, and U.S. Information Agency.",,,,,,,,,
"b Includes National Archives and Records Administration, U.S. Department of Commerce, Tennessee Valley Authority, U.S. Department of Labor, National Science Foundation, Federal Trade Commission, Federal Communications Commission, Environmental Protection Agency, U.S. Department of Homeland Security, U.S. Department of Housing and Urban Development, Railroad Retirement Board, Equal Employment Opportunity Commission, Nuclear Regulatory Commission, U.S. Department of State, U.S. Department of the Treasury, Office of Personnel Management, Consumer Product Safety Commission, Central Intelligence Agency, Social Security Administration,  and U.S. information Agency (International Broadcasting Bureau). ",,,,,,,,,
c Includes liquefied petroleum gases.,,,,,,,,,
"d Includes purchased steam, chilled water from district heating and cooling systems, and any other energy type, such as renewable energy.",,,,,,,,,
,,,,,,,,,
NOTES,,,,,,,,,
1 Trillion BTU=1.055056 Petajoules,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,
