Table 3-16: Personal Consumption Expenditures on Transportation by Subcategory (Millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
TOTAL transportation,"40,800","56,500","76,500","124,400","226,500","357,400","442,900","418,300","451,300","485,300","528,200","554,100","598,900","641,800","668,600","729,000","795,400","810,500","813,100","846,000","899,300","960,800","992,900","1,032,700","1,009,700","867,000","942,100","1,052,000","1,105,700","1,136,200","1,168,000","1,116,200"
"User-operated transportation, total","39,510","55,325","74,483","121,054","218,784","349,065","433,278","409,458","444,552","479,512","523,379","548,274","592,165","631,796","657,020","717,448","776,311","796,463","804,620","838,541","893,280","957,572","985,639","1,028,418","1,000,561","858,005","930,672","1,037,594","1,087,434","1,116,387","1,147,299","1,096,575"
New cars and net purchases of used cars,"16,571","25,191","26,754","36,775","57,243","110,679","118,988","103,658","112,410","120,391","133,268","132,438","135,292","138,661","145,609","155,206","159,402","156,583","154,444","144,910","148,638","154,235","154,010","148,089","132,200","113,837","114,870","123,598","137,419","140,787","144,012","137,433"
New and used trucks and RVs,606,"1,284","2,667","7,739","11,849","40,988","63,882","60,337","70,115","80,809","91,229","96,427","109,274","124,532","145,530","166,096","174,152","196,917","217,410","226,368","229,175","221,882","204,462","213,681","166,544","161,777","182,197","191,215","208,432","225,121","248,482","277,741"
Motor vehicle parts and accessories,"2,487","3,450","6,087","10,287","17,926","23,483","28,254","27,803","28,727","30,797","33,737","35,366","37,647","39,133","39,477","41,070","41,788","41,260","41,674","44,121","47,124","50,609","53,442","56,242","54,808","51,775","55,460","59,615","62,019","64,083","65,448","67,000"
Repair and rentala,"5,262","7,214","11,776","18,971","32,597","58,035","82,033","78,832","86,705","95,755","108,622","121,371","134,351","147,753","154,548","166,189","176,972","181,925","179,036","181,590","187,002","196,395","204,800","212,087","209,776","193,454","194,553","204,596","210,385","219,624","232,871","242,720"
Gasoline and oil,"12,004","14,751","21,921","39,703","86,689","97,205","111,440","108,852","112,864","114,518","116,492","120,410","130,494","134,428","120,787","134,190","168,609","162,485","153,611","178,977","213,376","261,430","295,926","319,919","358,327","260,229","307,265","380,408","390,494","385,606","371,155","283,012"
Parking fees and tolls,567,816,"1,205","1,652","2,529","4,004","5,171","5,546","6,427","6,864","7,281","7,766","8,405","9,482","10,687","11,463","12,318","12,859","12,747","13,504","14,449","15,405","15,806","16,421","16,954","16,967","17,386","18,209","18,837","20,059","21,378","22,821"
"Insurance premiums, less claims paidb","2,013","2,619","4,073","5,927","9,951","14,671","23,510","24,430","27,304","30,378","32,750","34,496","36,702","37,807","40,382","43,234","43,070","44,434","45,698","49,071","53,516","57,616","57,193","61,979","61,952","59,966","58,941","59,953","59,848","61,107","63,953","65,848"
"Purchased intercity transportation, total","1,447","2,145","4,156","7,402","15,376","21,014","29,468","28,827","29,338","31,973","34,231","37,071","40,241","45,141","49,292","52,726","59,670","54,349","51,625","55,045","58,208","59,576","61,553","63,743","64,076","57,773","59,098","61,771","65,517","68,648","72,840","75,574"
Railroad,448,429,395,474,588,616,696,697,546,526,488,482,489,490,519,555,635,697,726,721,736,757,847,957,"1,052",971,"1,091","1,165","1,240","1,303","1,345","1,321"
Intercity bus,154,206,311,455,873,754,615,674,682,724,776,836,895,"1,022","1,118","1,202","1,360","1,410","1,412","1,435","1,432","1,420","1,455","1,383","1,493","1,250","1,076","1,099","1,144","1,168","1,182","1,203"
Airline,678,"1,279","3,075","5,890","12,768","18,088","25,891","25,069","25,581","27,742","29,226","31,072","33,269","37,216","40,269","43,042","49,166","42,873","39,515","42,678","44,734","45,446","46,318","47,572","47,413","42,196","42,652","44,311","46,862","48,838","52,131","54,184"
Otherc,167,231,375,583,"1,147","1,556","2,266","2,387","2,529","2,981","3,741","4,681","5,588","6,413","7,386","7,927","8,509","9,369","9,972","10,211","11,306","11,953","12,933","13,831","14,118","13,356","14,279","15,196","16,271","17,339","18,182","18,866"
"Purchased local transportation, total","1,904","1,958","2,906","4,019","4,864","7,093","9,701","10,468","11,153","11,507","11,761","11,738","11,958","11,931","13,105","13,713","14,587","15,571","14,752","15,326","16,903","18,009","19,897","19,966","20,910","21,500","21,885","23,547","24,748","26,180","26,981","27,290"
Mass transit system,"1,295","1,346","1,726","2,051","2,998","4,521","7,124","7,843","8,567","8,794","8,962","8,749","8,796","8,673","9,606","10,444","11,516","12,204","11,298","12,089","13,061","13,875","15,294","15,392","16,380","16,950","17,143","18,410","19,261","20,309","20,992","21,380"
Taxi,609,612,"1,180","1,968","1,866","2,572","2,577","2,625","2,586","2,713","2,799","2,989","3,162","3,258","3,499","3,269","3,071","3,367","3,454","3,237","3,842","4,134","4,603","4,574","4,530","4,550","4,742","5,137","5,487","5,871","5,989","5,910"
KEY:  R = revised; RVs = recreational vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Also includes greasing, washing, storage, and leasing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Consists of premiums plus premium supplements less normal losses and dividends paid to policyholders for motor vehicles insurance. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Consists of baggage charges, coastal and inland waterway fares, travel agents' fees, airports bus fares, and limousine services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to different sources used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, tables 2.5.5 and 2.4.5U , available at http://www.bea.gov/national/index.htm as of October 31, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
