Table 2-42:  Railroad Passenger Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,2013,2014,2015
Passenger fatalitiesa,3,8,3,58,5,0,12,6,4,14,4,3,7,3,3,16,2,5,24,3,3,6,5,6,5,17
Injured persons,473,382,411,559,497,573,513,601,535,481,658,746,877,727,703,957,936,"1,516","1,332","1,191","1,370","1,582","1,588","1,695","1,454","1,684"
"Train-miles, passenger trains (millions)",72,74,74,75,75,76,77,78,78,82,84,88,90,89,89,90,96,99,102,107,105,106,108,111,112,108
Fatalities per 100 million passenger train-miles,4.2,10.8,4.1,77.3,6.7,0.0,15.6,7.7,5.1,17.0,4.7,3.4,7.8,3.4,3.4,17.8,2.1,5.0,23.5,2.8,2.9,5.7,4.7,5.4,4.5,15.7
Injuries per 100 million passenger train-miles,656.9,516.2,555.4,745.3,662.7,753.9,666.2,770.2,682.5,583.6,780.7,850.1,979.1,813.3,787.0," 1,062.0 ",974.8,"1,524.6","1,306.0","1,115.0","1,303.5","1,497.0","1,476.9","1,524.8","1,294.6","1,558.1"
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Three major train accidents accounted for the increase in the number of deaths in 1993, 2005 and 2008. Two major train accidents accounted for the increase in the number of injuries in 2007. In 1993 a barge struck a rail bridge in Alabama causing an Amtrak train to derail into the waterway below leading to 42 passenger deaths. In 2005, a Southern California Regional Rail Authority train struck a jeep at a non-grade crossing location, derailed and struck a UPRR locomotive, which caused the train to strike another Southern California Regional Rail Authority train. The total passenger fatalities from both trains were 10. In 2008, a Southern California Regional Rail Authority train ran a red signal and collided head-on with a Union Pacific RR Co. freight, which lead to 24 passenger deaths. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Train-mile is the movement of a train (which can consist of many cars) the distance of 1 mile. A Train-mile differs from a vehicle-mile, which is the movement of 1 car (vehicle) the distance of 1 mile. A 10-car (vehicle) train traveling 1 mile would be measured as 1 Train-mile and 10 vehicle-miles. Caution should be used when comparing Train-miles to vehicle miles. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger fatalities and Injured persons include passengers on trains only.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities and injuries:,,,,,,,,,,,,,,,,,,,,,,,,,,
