Table 3-9: U.S. Gross Domestic Product (GDP) by Major Social Function (Billions of current dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,
,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,(R) 2014,2015
Total GDP,"6,174","6,539","6,879","7,309","7,664","8,100","8,609","9,089","9,661","10,285","10,622","10,978","11,511","12,275","13,094","13,856","14,478","14,719","14,419","14,964","15,518","16,155","16,692","17,393","18,037"
Housing,"1,177","1,257","1,345","1,446","1,511","1,608","1,688","1,807","1,932","2,053","2,183","2,291","2,447","2,663","2,910","3,017","2,950","2,849","2,735","2,763","2,831","2,936","3,087","3,245","3,439"
Percent of total,19.1,19.2,19.6,19.8,19.7,19.8,19.6,19.9,20.0,20.0,20.6,20.9,21.3,21.7,22.2,21.8,20.4,19.4,19.0,18.5,18.2,18.2,18.5,18.7,19.1
Healthcare,748,815,862,902,950,997,"1,055","1,123","1,187","1,276","1,386","1,513","1,627","1,745","1,866","1,981","2,119","2,229","2,314","2,400","2,507","2,607","2,667","2,799","2,970"
Percent of total,12.1,12.5,12.5,12.3,12.4,12.3,12.3,12.4,12.3,12.4,13.0,13.8,14.1,14.2,14.3,14.3,14.6,15.1,16.0,16.0,16.2,16.1,16.0,16.1,16.5
Food,724,751,762,804,807,858,876,898,946,"1,000","1,040","1,067","1,113","1,175","1,238","1,304","1,378","1,453","1,450","1,495","1,567","1,634","1,668","1,734","1,761"
Percent of total,11.7,11.5,11.1,11.0,10.5,10.6,10.2,9.9,9.8,9.7,9.8,9.7,9.7,9.6,9.5,9.4,9.5,9.9,10.1,10.0,10.1,10.1,10.0,10.0,9.8
Transportation,596,638,683,742,772,828,896,931,"1,009","1,060","1,053","1,075","1,097","1,161","1,248","1,312","1,391","1,360","1,176","1,320","1,467","1,560","1,608","1,661","1,631"
Percent of total,9.7,9.8,9.9,10.2,10.1,10.2,10.4,10.2,10.4,10.3,9.9,9.8,9.5,9.5,9.5,9.5,9.6,9.2,8.2,8.8,9.5,9.7,9.6,9.6,9.0
Education,387,411,430,454,486,516,551,587,630,683,732,757,791,835,880,935,999,"1,053","1,075","1,090","1,103","1,113","1,130","1,163","1,203"
Percent of total,6.3,6.3,6.2,6.2,6.3,6.4,6.4,6.5,6.5,6.6,6.9,6.9,6.9,6.8,6.7,6.7,6.9,7.2,7.5,7.3,7.1,6.9,6.8,6.7,6.7
Other ,"2,542","2,667","2,798","2,960","3,138","3,294","3,543","3,744","3,956","4,213","4,228","4,275","4,436","4,697","4,951","5,307","5,640","5,775","5,669","5,896","6,043","6,305","6,531","6,791","7,033"
Percent of total,41.2,40.8,40.7,40.5,40.9,40.7,41.2,41.2,41.0,41.0,39.8,38.9,38.5,38.3,37.8,38.3,39.0,39.2,39.3,39.4,38.9,39.0,39.1,39.0,39.0
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add to totals due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
"Other includes all other categories (e.g. entertainment, personal care products and services, and payments to pension plans).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, calculated based on data from U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Account Tables, 1.1.5, 2.4.5, 3.11.5, 3.15.5, 4.2.5, 5.4.5, 5.5.5, 5.7.5A, and 5.7.5B, available at http://www.bea.gov/national/nipaweb/Index.asp as of Nov. 7, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,
