Table 2-20:  Occupant and Nonmotorist Fatalities in Crashes by Number of Vehicles and Alcohol Involvement (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,
,Fatal ,  AI    ,Fatal ,  AI    ,Fatal ,  AI    ,Fatal ,AI    ,Fatal  ,  AI    ,Fatal ,  AI    ,Fatal,  AI    ,Fatal,  AI    ,Fatal,AI    ,Fatal,AI    ,Fatal,  AI    ,Fatal,AI    ,Fatal,AI    ,Fatal,AI    ,Fatal,AI    
TOTAL fatalities,"43,825","23,167","44,599","22,587","41,508","20,159","39,250","18,290","40,150","17,908","40,716","17,308","41,817","17,732","42,065","17,749","42,013","16,711","41,501","16,673","41,717","16,572","41,945","17,380","42,196","17,400","43,005","17,524","42,884","17,105"
AI as a percent of total fatalities,,52.9,,50.6,,48.6,,46.6,,44.6,,42.5,,42.4,,42.2,,39.8,,40.2,,39.7,,41.4,,41.2,,40.7,,39.9
"Motorist fatalities, TOTAL","36,043","19,271","37,134","18,953","34,740","16,918","32,880","15,301","33,574","14,857","34,318","14,437","35,291","14,796","35,695","14,830","35,725","14,051","35,382","13,896","35,875","13,958","36,348","14,834","36,440","14,708","37,375","14,954","37,341","14,544"
Single-vehicle crashes,"17,130","10,882","18,159","11,162","17,280","10,208","15,958","9,045","15,932","8,761","15,997","8,330","16,732","8,868","16,723","8,781","16,529","8,244","16,666","8,417","17,075","8,516","17,471","8,964","17,753","8,973","18,600","9,238","18,261","8,957"
Two-vehicle crashes,"16,467","7,296","16,262","6,676","15,025","5,821","14,449","5,341","15,161","5,205","15,664","5,219","15,744","5,017","15,935","5,084","16,218","4,904","15,742","4,638","15,726","4,562","15,758","4,854","15,618","4,739","15,628","4,744","15,905","4,652"
More than two-vehicle crashes,"2,446","1,093","2,713","1,115","2,435",888,"2,473",916,"2,481",891,"2,657",888,"2,815",911,"3,037",965,"2,978",904,"2,974",841,"3,074",880,"3,119","1,016","3,069",996,"3,147",972,"3,175",935
"Nonmotorist fatalities, TOTAL","7,782","3,896","7,465","3,634","6,768","3,241","6,370","2,989","6,576","3,051","6,398","2,870","6,526","2,936","6,368","2,919","6,288","2,660","6,119","2,777","5,842","2,614","5,597","2,547","5,756","2,693","5,630","2,571","5,543","2,561"
"Pedestrians fatalities, total","6,808","3,574","6,482","3,264","5,801","2,891","5,549","2,721","5,649","2,736","5,489","2,578","5,584","2,607","5,449","2,593","5,321","2,350","5,228","2,463","4,939","2,314","4,763","2,254","4,901","2,371","4,851","2,293","4,774","2,282"
"Pedestrians, single-vehicle crashes","6,342","3,278","5,990","2,966","5,302","2,588","5,099","2,454","5,180","2,464","5,027","2,308","5,110","2,364","5,024","2,358","4,876","2,112","4,801","2,228","4,516","2,074","4,340","2,015","4,480","2,123","4,445","2,069","4,310","2,036"
"Pedestrians, multiple-vehicle crashes",466,297,492,298,499,303,450,267,469,271,462,270,474,243,425,235,445,239,427,235,423,240,423,239,421,248,406,223,464,246
"Pedalcyclists fatalities, total",890,283,859,314,843,306,723,228,816,279,802,262,833,290,765,265,814,252,760,268,754,271,693,247,732,282,665,243,629,235
"Pedalcyclists, single-vehicle crashes",864,271,832,301,815,296,690,211,792,264,781,252,807,279,739,253,788,244,736,259,718,253,668,236,709,271,628,229,596,218
"Pedalcyclists, multiple-vehicle crashes",26,13,27,14,28,9,33,17,24,15,21,10,26,11,26,12,26,8,24,9,36,17,25,10,23,12,37,14,33,17
Others/unknown,84,38,124,57,124,45,98,39,111,37,107,31,109,39,154,61,153,58,131,47,149,29,141,46,123,39,114,36,140,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,(R) 2013,,(R) 2014,,(P) 2015,,,,,,,
,Fatal,AI    ,Fatal,AI    ,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,,,,,,
TOTAL fatalities,"42,836","16,919","43,510","17,590","42,708","17,738","41,259","17,158","37,423","15,449","33,883","14,179","32,999","13,323","32,479","13,184","33,782","13,879","32,893","13,569","32,744","13,388","35,092","13,966",,,,,,
AI as a percent of total fatalities,,39.5,,40.4,,41.5,,41.6,,41.3,,41.8,,40.4,,40.6,,41.1,,41.3,,40.9,,39.8,,,,,,
