Table 3-10:  National Transportation and Economic Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,,
Passenger-miles (billions),"(R) 4,585","(R) 4,710","(R) 4,841","(R) 5,117","(R) 5,128","(R) 5,225","(R) 5,298","(R) 5,478","(R) 5,537","(R) 5,598","(R) 5,646","(R) 5,543","(R) 4,853","(R) 4,869","(R) 4,867","(R) 4,917","(R) 4,960","5,043",,,,,,,,,,,,,,,
Index (2012 = 100),(R) 93,(R) 96,(R) 98,(R) 104,(R) 104,(R) 106,(R) 108,(R) 111,(R) 113,(R) 114,(R) 115,(R) 113,(R) 99,(R) 99,(R) 99,(R) 100,(R) 101,103,,,,,,,,,,,,,,,
Ton-miles (billions),"5,445","5,464","5,483","5,501","5,520","5,539","5,579","5,619","5,659","5,699","5,740","5,998","5,468","5,690","5,899",U,U,U,,,,,,,,,,,,,,,
Index (2007 = 100),100,100,100,101,101,101,102,103,104,104,105,110,100,104,108,U,U,U,,,,,,,,,,,,,,,
Populationa (millions),273,276,279,282,285,288,290,293,296,298,301,304,307,310,312,314,317,319,,,,,,,,,,,,,,,
Index (2012 = 100),87,88,89,90,91,91,92,93,94,95,96,97,98,99,99,100,101,101,,,,,,,,,,,,,,,
Industrial Production Indexb (2012 = 100),83,88,92,96,93,93,94,96,100,102,104,101,89,94,97,100,102,106,,,,,,,,,,,,,,,
Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current $ (billions),"8,609","9,089","9,661","10,285","10,622","10,978","11,511","12,275","13,094","13,856","14,478","14,719","14,419","14,964","15,518","16,155","16,663","17,348",,,,,,,,,,,,,,,
Index (2012 = 100),53,56,60,64,66,68,71,76,81,86,90,91,89,93,96,100,103,107,,,,,,,,,,,,,,,
Chained (2009) $ (billions),"11,035","11,526","12,066","12,560","12,682","12,909","13,271","13,774","14,234","14,614","14,874","14,830","14,419","14,784","15,021","15,355","15,583","15,962",,,,,,,,,,,,,,,
Index (2012 = 100),72,75,79,82,83,84,86,90,93,95,97,97,94,96,98,100,101,104,,,,,,,,,,,,,,,
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Annual estimates as of July 1 of each year. Data include Armed Forces abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Industrial Production Index covers manufacturing, mining, and utilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
