Table 1-35M:  U.S. Vehicle-Kilometers (Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, all services","1,381","1,825","3,328","2,635","3,663","4,869","6,378","6,203","6,429","6,689","7,046","7,448","7,736","7,897","8,095","8,572","9,112","8,923","9,033","9,826","10,625","10,809","10,631","10,835","10,374","9,552","9,617","9,663","9,586","9,600","(R) 9,571","9,730"
General aviationa,"2,847","4,123","5,161","6,820","8,375","7,520","7,319","7,081","5,576","5,235","5,404","6,107","5,671","6,239",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
"Highway, total","1,156,737","1,428,793","1,785,928","2,136,668","2,457,943","2,856,307","3,451,016","3,495,576","3,616,439","3,695,662","3,794,170","3,898,951","4,000,585","4,122,648","4,235,024","4,330,835","4,420,747","4,499,098","4,595,495","4,651,360","4,771,364","4,811,021","4,851,160","4,878,121","4,790,257","4,758,450","4,775,352","4,748,211","4,778,839","4,809,173","4,869,321","5,038,066"
"Light duty vehicle, short wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"3,386,729","3,258,531","3,243,977","3,260,120","3,293,172","3,319,799","3,338,460","3,334,676",U
"Passenger carsb,e","944,704","1,163,066","1,475,286","1,663,981","1,788,940","2,006,527","2,266,384","2,185,787","2,207,326","2,212,380","2,262,881","2,314,710","2,365,501","2,418,129","2,493,802","2,525,222","2,575,412","2,618,991","2,669,055","2,690,770","2,735,708","2,749,437","2,720,651",N,N,N,N,N,N,N,N,N
"Motorcyclec,d",U,U,"4,794","9,059","16,438","14,622","15,381","14,771","15,381","15,942","16,480","15,767","15,965","16,224","16,549","17,033","16,848","15,502","15,372","15,411","16,290","16,825","19,392","34,434","33,492","33,510","29,794","29,841","34,416","32,776","32,138",U
"Light duty vehicle, long wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"944,071","974,388","993,824","1,002,157","972,326","967,589","970,928","1,027,541",U
"Other 2-axle 4-tire vehiclesb,e",U,U,"198,410","322,995","468,214","629,191","924,682","1,045,098","1,137,586","1,200,168","1,230,559","1,271,428","1,314,094","1,369,132","1,397,353","1,450,054","1,485,519","1,516,991","1,554,681","1,583,627","1,653,060","1,675,410","1,742,099",N,N,N,N,N,N,N,N,N
"Truck, single-unit 2-axle 6-tire or mored","158,602","207,234","43,583","55,693","64,073","73,130","83,527","85,131","86,702","91,366","98,627","100,914","103,114","107,654","109,469","113,143","113,459","116,506","122,094","125,124","126,239","126,327","129,301","193,087","204,153","193,454","178,216","167,055","169,955","171,527","175,904",U
"Truck, combination","46,436","50,960","56,543","75,195","110,527","125,630","151,827","155,535","160,146","165,949","175,309","185,800","191,349","200,499","206,574","213,051","217,294","219,730","223,276","225,514","229,122","231,790","228,799","296,440","295,839","270,530","282,905","263,597","263,291","271,071","273,315",U
Busf,"6,994","7,533","7,313","9,745","9,751","7,207","9,215","9,254","9,299","9,857","10,314","10,332","10,562","11,011","11,277","12,331","12,215","11,378","11,016","10,914","10,945","11,234","10,917","23,361","23,856","23,154","22,160","22,221","23,788","24,409","25,748",U
"Transitg, total","3,449","3,232","3,031","3,502","3,680","4,491","5,217","5,321","5,399","5,528","5,580","5,713","4,959","5,151","5,386","5,632","5,801","6,012","6,203","6,300","6,392","6,525","6,641","6,820","7,041","7,201","7,081","6,971","6,995","7,103","7,128",U
