Table 2-32:  Transit Safety and Property Damage Data,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
Fatalitiesa,339,300,273,281,320,274,264,275,286,299,295,267,280,234,248, 236 , 227 , 288 , 220 ,247,239,323,373,375,332
"Injuriesa,b","54,556","52,125","55,089","52,668","58,193","57,196","55,288","56,132","55,990","55,325","56,697","53,945","19,260","18,235","18,982"," 18,131 "," 19,238 "," 20,625 "," 23,067 ","24,614","23,584","22,250","23,099","24,697","22,333"
"Accidentsb,c","58,002","46,467","36,380","30,559","29,972","25,683","25,166","24,924","23,937","23,310","24,261","23,891","13,968","7,793","7,842"," 8,151 "," 8,970 "," 9,398 "," 3,366 ","3,433","3,400","3,532","3,379","4,205","4,693"
"Incidentsa,b,c (includes accidents)","90,163","83,139","73,531","64,986","70,693","62,471","59,392","61,561","60,094","58,703","59,898","58,149","30,331","19,797","20,939"," 21,016 "," 22,593 "," 23,935 "," 22,163 ","22,995","21,526","19,492","20,061","21,885","19,305"
Vehicle-miles (millions),"2,490","2,478","2,510","2,535","2,581","2,620","2,605","2,702","2,833","2,927","3,002","3,090","3,084","3,071","3,139"," 3,098 "," 3,126 "," 3,166 "," 3,254 ","3,330","3,330","3,082","3,783","3,700","3,752"
Rates per 100 million vehicle-milesd,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities (all reportable incidents),13.6,12.1,10.9,11.1,12.4,10.5,10.1,10.2,10.1,10.2,9.8,8.6,9.1,7.6,7.9,7.6,7.3,9.1,6.8,7.4,7.2,10.5,9.9,10.1,8.8
Injuries (all reportable incidents),"2,191","2,103","2,195","2,077","2,254","2,183","2,122","2,078","1,976","1,890","1,889","1,746",624,594,605,585,615,651,709,739,708,722,611,667,595
Accidents,"2,329","1,875","1,450","1,205","1,161",980,966,922,845,796,808,773,453,254,250,263,287,297,103,103,102,115,89,114,125
"Property damageb,e (current $ millions)",38.0,37.5,37.5,44.9,38.4,46.3,57.6,55.5,61.5,55.3,58.9,73.1,32.2,59.2,43.4,71.7,37.9,39.7,57.9,62.6,50.3,48.0,*453.0,45.0,57.2
KEY: P = preliminary.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"a Totals do not include data for cable car, inclined plane, jitney, and ferry boat. This data appears in the footnotes for table 2-34.",,,,,,,,,,,,,,,,,,,,,,,,,
"b The drop in the number of Incidents, Accidents, Injuries, and Property damage beginning from 2002 is due largely to a change in definitions by the Federal Transit Administration, particularly the definition of Injuries. The Injury threshold for filing an incident report changed to be two or more Injuries requiring immediate medical transportation away from the scene, or one or more Injuries requiring immediate medical transportation away from the scene in the case of incidents at grade crossings or along rail right-of-ways in 2002. Previously, any Injury was reportable. There were National Transportation Database definition changes made in 2008 to simplify the injury thresholds for filing an incident report. FTA simplified this threshold to being simply one or more Injuries requiring immediate medical transportation away from the scene. This simplification resulted in larger reported number in Injuries since 2008. Commuter rail data is now derived from the Federal Railroad Administration's Rail Accident Incident Reporting System (RAIRS). The threshold for reporting Property damage was changed from $1,000 in transit Property damage to $7,500 in total property damage from 2002 to 2007. In 2008, the property damage threshold was changed to $25,000. This change in coverage caused a large drop in the number of accidents beginning in 2008.",,,,,,,,,,,,,,,,,,,,,,,,,
"c Accidents include collisions with other vehicles, objects, and people (except suicides), and derailments/buses going off the road. Incidents include Accidents plus personal casualties (inside vehicles, inside stations, and boarding and alighting vehicle) and fires. ",,,,,,,,,,,,,,,,,,,,,,,,,
"d Fatality and Injury rates are based on total Incidents including Accidents and were calculated by dividing the number of Fatalities, Injuries, and Incidents in this table by the number of Vehicle miles.  ",,,,,,,,,,,,,,,,,,,,,,,,,
