Table 3-13:  Producer Price Indices for Selected Transportation and Warehousing Services (North American Industry Classification System [NAICS] basis) (Base date = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,
Air transportation (NAICS 481),12/92,U,U,100.0,105.6,108.5,113.7,121.1,125.3,124.5,130.8,147.7,157.2,157.8,162.1,162.3,171.0,180.4,183.7,203.8,188.5,202.9,218.3,227.6,226.0,230.0,221.7,,,,,,,,,,,,,,,,,
Scheduled air transportation (NAICS 4811),12/89,110.2,121.2,114.2,125.4,129.1,135.9,145.5,150.8,149.3,157.3,180.1,193.0,193.3,198.5,198.6,209.3,220.5,224.5,248.9,229.1,247.7,267.9,280.1,278.3,283.8,272.5,,,,,,,,,,,,,,,,,
Scheduled air transportation (NAICS 48111),12/89,110.2,121.2,114.2,125.4,129.1,135.9,145.5,150.8,149.3,157.3,180.1,193.0,193.3,198.5,198.6,209.3,220.5,224.5,248.9,229.1,247.7,267.9,280.1,278.3,283.8,272.5,,,,,,,,,,,,,,,,,
Scheduled passenger air transportation (NAICS 481111),12/89,110.6,122.4,114.8,126.8,130.6,137.8,148.1,153.9,152.6,161.2,186.5,200.6,200.4,205.7,205.8,217.1,229.6,234.5,257.1,236.1,254.7,273.5,285.1,283.1,289.1,277.4,,,,,,,,,,,,,,,,,
Scheduled freight air transportation (NAICS 481112),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,100.2,104.9,108.4,109.0,127.8,119.1,130.2,145.9,155.8,156.7,157.0,151.4,,,,,,,,,,,,,,,,,
Nonscheduled air transportation (NAICS 4812),12/96,U,U,U,U,U,U,100.0,97.8,99.2,102.2,107.3,112.7,114.7,117.8,119.9,126.7,136.8,148.5,165.8,160.4,165.4,168.1,169.5,167.6,166.8,168.1,,,,,,,,,,,,,,,,,
Nonscheduled air transportation (NAICS 48121),12/96,U,U,U,U,U,U,100.0,97.8,99.2,102.2,107.3,112.7,114.7,117.8,119.9,126.7,136.8,148.5,165.8,160.4,165.4,168.1,169.5,167.6,166.8,168.1,,,,,,,,,,,,,,,,,
Rail transportation (NAICS 482),12/96,U,U,U,U,U,U,100.0,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,,,,,,,,,,,,,,,,,
Rail transportation (NAICS 4821),12/96,U,U,U,U,U,U,100.0,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,,,,,,,,,,,,,,,,,
Rail transportation (NAICS 48211),12/96,U,U,U,U,U,U,100.0,100.5,101.7,101.3,102.6,104.5,106.6,108.8,113.4,125.2,135.9,140.9,157.3,148.5,156.2,169.8,177.4,183.1,186.5,179.5,,,,,,,,,,,,,,,,,
Line -haul railroads (NAICS 482111),12/84,107.5,109.3,109.9,110.9,111.8,111.7,111.5,112.1,113.4,113.0,114.5,116.6,118.9,121.4,126.5,139.6,151.6,157.2,175.5,165.6,174.3,189.4,197.9,204.2,208.0,200.2,,,,,,,,,,,,,,,,,
Water transportation (NAICS 483),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.3,106.4,111.1,113.5,127.0,116.1,125.5,133.4,136.4,135.1,138.4,138.9,,,,,,,,,,,,,,,,,
"Deep sea, coastal, and great lakes water transportation (NAICS 4831)",NA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,,,,,,,,,,,,,,,,,
"Deep sea, coastal, and great lakes water transportation (NAICS 48311)",NA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,,,,,,,,,,,,,,,,,
Deep sea freight transportation (NAICS 483111),06/88,113.1,119.5,116.4,115.9,114.4,113.3,114.1,113.1,116.7,134.0,155.8,172.2,185.8,219.9,225.9,231.9,233.3,230.0,258.3,218.8,244.8,253.8,249.9,249.2,262.5,259.2,,,,,,,,,,,,,,,,,
Coastal and great lakes freight transportation (NAICS 483113),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,101.7,109.9,119.9,130.2,141.8,137.4,146.7,158.5,166.7,165.6,167.7,173.4,,,,,,,,,,,,,,,,,
Inland water transportation (NAICS 4832),12/03,U,U,U,U,U,U,U,U,U,U,U,U,U,100.0,103.2,119.3,144.1,146.7,172.0,166.7,171.4,186.0,193.6,187.2,185.0,178.4,,,,,,,,,,,,,,,,,
