Water Transport Profile,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Operating revenues ($ millions)1,,,,,,,,,,,,,,,,,
"Domestic freight, total",U,U,U,"(R) 23,674",U ,"(R) 25,162","(R) 23,980","(R) 23,761","(R) 24,766","(R) 26,667","(R) 30,925","(R) 29,575","(R) 28,643","(R) 34,191","(R) 40,612",U,U
Coastal/Great lakes,U,U,U,"(R) 7,383",U ,"(R) 6,781","(R) 6,313","(R) 5,531","(R) 5,033","(R) 4,677","(R) 4,560","(R) 4,361","(R) 4,235","(R) 4,390","(R) 4,483",U,U
Inland waterways,U,U,U,"(R) 4,149",U ,"(R) 4,312","(R) 4,178","(R) 4,139","(R) 4,151","(R) 4,289","(R) 4,259","(R) 4,151","(R) 4,130","(R) 3,918","(R) 3,999",U,U
International freighta,U,U,U,"(R) 12,142",U ,"(R) 14,069","(R) 13,489","(R) 14,091","(R) 15,582","(R) 17,701","(R) 22,106","(R) 21,063","(R) 20,278","(R) 25,883","(R) 32,130",U,U
"Passenger, total",U ,U ,U ,"(R) 3,702",U ,"(R) 3,988","(R) 4,231","(R) 4,440","(R) 5,237","(R) 6,230","(R) 7,697","(R) 8,270","(R) 8,652","(R) 9,055","(R) 9,438",U,U
"Domestic passenger, intercity",U ,U ,U ,(R) 434,U ,(R) 437,(R) 440,(R) 442,(R) 448,(R) 479,(R) 520,(R) 551,(R) 571,(R) 624,(R) 632,U,U
International passengera,U ,U ,U ,"(R) 3,268",U ,"(R) 3,551","(R) 3,791","(R) 3,998","(R) 4,789","(R) 5,751","(R) 7,177","(R) 7,719","(R) 8,081","(R) 8,431","(R) 8,806",U,U
Revenues of U.S. commercial fishing fleet-domestic landings ($ millions)2,354,613,"2,237","3,522","3,809","3,770","3,487","3,448","3,128","3,467","3,549","3,228","3,092","(R) 3,348","3,756","3,942","3,993"
INVENTORY,,,,,,,,,,,,,,,,,
"Number of domestic inland vessel operatorsb, 3",228,380,403,565,555,557,554,U,U,U,U,U,U,U,U,U,U
Number of employees4,,,,,,,,,,,,,,,,,
"Ships, boat building, and repairingc","141,200","171,800","220,500","187,700","158,200","159,600","158,800","158,300","166,600","167,400","167,900","161,100","146,810","145,350","149,160","153,170","152,650"
Water transportationd,N,"212,300","211,200","176,600","172,400","174,500","174,100","178,700","181,300","185,500","193,900","192,400","145,370","145,400","145,340","154,980","160,160"
"Number of employeesd,e, total5","49,281","35,000","19,218","12,132","11,324","10,303","9,250","8,937","8,956","9,036",U,U,U,U,U,U,U
Passenger / combo,"8,560","2,178",618,642,642,642,321,321,321,321,U,U,U,U,U,U,U
Cargo,"28,668","22,257","9,878","7,019","6,056","5,400","4,964","4,831","4,924","4,757",U,U,U,U,U,U,U
Tankers,"12,053","10,567","8,722","4,471","4,626","4,261","3,965","3,785","3,711","3,958",U,U,U,U,U,U,U
Mileage of commercially navigable channels1 ,"25,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000",U,U,U,U,U
Number of vessels6,,,,,,,,,,,,,,,,,
Total nonself-propelled,"16,777","19,377","31,662","31,017","30,723","31,360","32,811","33,011","33,509","33,387","33,152","33,042","32,381","31,335","31,296","32,052",U
Dry cargo barges and scows,"14,025","15,890","27,426","27,091","26,723","27,342","28,743","29,006","29,526","29,383","29,107","28,888","28,281","27,272","27,197","27,876",U
Tankers,"2,429","3,281","4,166","3,913","3,966","3,985","4,036","3,971","3,952","3,973","4,011","4,122","4,068","4,031","4,069","4,151",U
Railroad car floats,323,206,70,13,34,33,32,34,31,31,34,32,32,32,30,25,U
Total self-propelled,"6,519","6,447","7,126","8,236","8,334","8,281","8,293","8,408","8,523","8,379","8,202","8,546","8,621","8,648","8,994","8,976",U
Dry cargo / passenger,"1,796","1,761","2,036","2,678","2,785","2,804","2,782","2,905","2,938","2,910","2,780","2,697","2,738","2,765","2,948","2,967",U
"Ferries, railroad car",31,17,67,135,175,172,173,183,213,229,292,579,595,607,629,619,U
Tankers,489,421,330,213,195,178,161,147,135,142,135,120,108,104,103,100,U
Towboats / tugs,"4,203","4,248","4,693","5,210","5,179","5,127","5,177","5,173","5,237","5,098","4,995","5,150","5,180","5,172","5,314","5,290",U
"U.S. merchant marine ships (over 1,000 gross tons)",,,,,,,,,,,,,,,,,
Total U. S. flag7,"2,926","1,579",864,636,543,509,495,477,470,463,454,443,426,(R) 418,412,U,U
Passenger / cargo,309,171,65,10,13,13,15,14,12,11,11,13,12,(R) 15,18,U,U
Freightersf,"2,138","1,076",471,367,308,295,292,288,289,284,286,283,276,(R) 209,205,U,U
Bulk carriers,57,38,20,26,22,20,15,14,15,14,15,17,18,(R) 20,20,U,U
Tankers,422,294,308,233,200,181,173,161,154,154,142,130,120,(R) 109,104,U,U
Privately owned,"1,008",U,578,408,354,319,302,285,281,277,U,U,U,U,U,U,U
Government owned,"1,918",U,286,228,189,190,193,192,189,186,U,U,U,U,U,U,U
"Number of recreational boats (thousands)h,8","2,500","7,400","8,578","10,996","11,430","11,735","11,878","12,313","12,566","12,738","12,782","12,876","12,854","12,795","12,781","12,942","12,746"
,,,,,,,,,,,,,,,,,
PERFORMANCE,,,,,,,,,,,,,,,,,
"Ton-miles (thousands)g, 9",,,,,,,,,,,,,,,,,
"Domestic water freight, total",N,"596,195,000","921,835,800","833,543,800","814,919,200","807,727,700","764,686,500","707,409,900","672,795,300","655,861,500","645,799,300","621,686,200","612,080,500","606,146,300","621,170","591,277",U
Coastwise,N,"359,784,000","631,149,200","479,133,600","457,600,700","440,345,100","408,086,100","349,843,000","314,863,900","292,730,000","283,871,600","274,558,800","263,688,200","278,918,700","279,857","263,464",U
Internal,N,"155,816,000","227,343,000","292,393,300","297,762,400","306,329,100","296,790,600","294,023,000","294,896,400","304,724,100","302,558,400","294,860,900","293,410,300","278,352,300","284,096","274,367",U
Lakewise,N,"79,416,000","61,747,100","60,929,900","58,263,400","59,703,800","58,335,300","62,165,900","61,654,300","57,045,200","57,879,100","50,853,500","53,652,900","47,539,400","55,733","51,924",U
