Table 1-18:  Retail Sales of New Cars by Sector (Thousands of vehicles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
Total sales of new cars,"9,333","8,403","8,538","8,982","10,978","9,300","8,175","8,214","8,518","8,990","8,620","8,479","8,218","8,085","8,638","8,778","8,352","8,042","7,556","(R) 7,482","7,660","7,761","7,562","6,769","5,401","5,636","6,090","7,244","7,585","7,689","7,525"
Consumer,"7,103","6,252","5,907","6,100","7,092","5,677","4,424","4,566","4,656","4,600","4,319","4,056","3,881","3,953","4,359","4,639","4,591","4,489","4,307","4,239","4,302","4,296","4,082","3,734","3,199","2,886","3,260","(R) 3,857","3,909","3,845","3,505"
Business,"2,140","2,056","2,508","2,758","3,754","3,477","3,648","3,529","3,672","4,183","4,060","4,197","4,138","3,914","4,047","3,914","3,538","3,348","3,049","3,051","3,142","3,213","3,229","2,800","2,016","2,593","2,677","3,266","(R) 3,556","3,690","3,885"
Government,90,94,123,124,133,147,103,119,190,207,242,225,198,219,232,224,223,205,200,192,216,252,250,234,187,157,153,(R) 121,(R) 121,154,135
Percentage of total sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer,76.1,74.4,69.2,67.9,64.6,61.0,54.1,55.6,54.7,51.2,50.1,47.8,47.2,48.9,50.5,52.9,55.0,55.8,57.0,56.7,56.2,55.4,54.0,55.2,59.2,51.2,53.5,53.2,51.5,50.0,46.6
Business,22.9,24.5,29.4,30.7,34.2,37.4,44.6,43.0,43.1,46.5,47.1,49.5,50.4,48.4,46.9,44.6,42.4,41.6,40.3,40.8,41.0,41.4,42.7,41.4,37.3,46.0,44.0,45.1,46.9,48.0,51.6
Government,1.0,1.1,1.4,1.4,1.2,1.6,1.3,1.5,2.2,2.3,2.8,2.7,2.4,2.7,2.7,2.6,2.7,2.6,2.6,2.6,2.8,3.2,3.3,3.5,3.5,2.8,2.5,1.7,1.6,2.0,1.8
KEY:  R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table includes imported cars, but not vans, trucks, or sport utility vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual numbers are calculated by averaging monthly data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government sales are determined by subtracting the consumer and business sales from total sales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data is seasonally adjusted at annual rates. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965: U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Wealth Division, unpublished data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2015: Ibid., Underlying Detail for the National Income and Product Account Tables, table 7.2.5S, available at http://www.bea.gov/ as of July 27, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
