Table 4-52: Areas in Nonattainment of National Ambient Air Quality Standards for Criteria Pollutants,,,,,,,,,,,,,,,,,,,
(Condensed nonattainment area list as of September 2003),,,,,,,,,,,,,,,,,,,
Ref. no.,States,Consolidated nonattainment area name a,Number of areas in nonattainment d,,,,,,"Area population, in 1,000s h",,,,,,,,,,
,,,O3 e,CO,SO2,PM-10,Pb,NO2 ,O3,CO,SO2,PM-10,Pb,Total exposed,,,,,
,,,,,,,,,,,,,,,,,,,
1,AK,Anchorage,.,1,.,1,.,., ,255, ,195, ,255,,,,,
2,AK,Fairbanks,.,1,.,.,.,., ,39, , , ,39,,,,,
3,AK,Juneau,.,.,.,1,.,., , , ,13, ,13,,,,,
4,AL,Birmingham,1,.,.,.,.,.,805, , , , ,805,,,,,
5,AZ,Ajo,.,.,1,1,.,., , ,7,7, ,7,,,,,
6,AZ,Douglas,.,.,1,1,.,., , ,15,15, ,15,,,,,
7,AZ,Miami-Hayden,.,.,2,1,.,., , ,4,4, ,4,,,,,
8,AZ,Morenci,.,.,1,.,.,., , ,8, , ,8,,,,,
9,AZ,Nogales,.,.,.,1,.,., , , ,24, ,24,,,,,
10,AZ,Paul Spur,.,.,.,1,.,., , , ,1, ,1,,,,,
11,AZ,Phoenix,1,1,.,1,.,.,"3,028","3,028", ,"3,111", ,"3,111",,,,,
12,AZ,Rillito,.,.,.,1,.,., , , ,0, ,0,,,,,
13,AZ,San Manuel,.,.,1,.,.,., , ,7, , ,7,,,,,
14,AZ,Yuma,.,.,.,1,.,., , , ,82, ,82,,,,,
15,CA,Imperial Valley,.,.,.,1,.,., , , ,119, ,119,,,,,
16,CA,Los Angeles-South Coast Air Basin,1,1,.,1,.,.,"14,550","14,550", ,"14,550", ,"14,550",,,,,
17,CA,Mono Basin (in Mono Co.),.,.,.,1,.,., , , ,0, ,0,,,,,
18,CA,Owens Valley,.,.,.,1,.,., , , ,7, ,7,,,,,
19,CA,Sacramento Metro,1,.,.,1,.,.,"1,978", , ,"1,223", ,"1,978",,,,,
20,CA,San Diego,1,.,.,.,.,.,"2,813", , , , ,"2,813",,,,,
21,CA,San Francisco-Oakland-San Jose,1,.,.,.,.,.,"6,541", , , , ,"6,541",,,,,
22,CA,San Joaquin Valley,2,.,.,1,.,.,"3,302", , ,"3,080", ,"3,302",,,,,
23,CA,Santa Barbara-Santa Maria-Lompoc,1,.,.,.,.,.,399, , , , ,399,,,,,
24,CA,Searles Valley,.,.,.,3,.,., , , ,22, ,22,,,,,
25,CA,Southeast Desert Modified AQMA,1,.,.,2,.,.,"1,024", , ,424, ,"1,024",,,,,
26,CA,Ventura Co.,1,.,.,.,.,.,753, , , , ,753,,,,,
27,CO,Aspen,.,.,.,1,.,., , , ,5, ,5,,,,,
28,CO,Denver-Boulder,.,.,.,1,.,., ,, ,"2,389", ,"2,389",,,,,
29,CO,Fort Collins,.,1,.,.,.,., ,143, , , ,143,,,,,
30,CO,Lamar,.,.,.,1,.,., , , ,8, ,8,,,,,
31,CO,Steamboat Springs,.,.,.,1,.,., , , ,9,,9,,,,,
32,CT,Greater Connecticut,1,.,.,1,.,.,"2,532",, ,123, ,"2,532",,,,,
33,DC-MD-VA,Washington,1,.,.,.,.,.,"4,544", , , , ,"4,544",,,,,
34,DE,Sussex County,1,.,.,.,.,.,156,,,,,156,,,,,
35,GA,Atlanta,1,.,.,.,.,.,"3,698", , , , ,"3,698",,,,,
36,GUb,Piti Power Plant,.,.,1,.,.,., , ,1, , ,1,,,,,
37,GUb,Tanguisson Power Plant,.,.,1,.,.,., , ,1, , ,1,,,,,
38,ID,Boise,.,1,.,.,.,., ,197, ,, ,197,,,,,
39,ID,Bonner Co. (Sandpoint ),.,.,.,1,.,., , , ,36, ,36,,,,,
40,ID,Pocatello Area,.,.,.,2,.,., , , ,66, ,66,,,,,
41,ID,Shoshone Co.,.,.,.,2,.,., , , ,12, ,12,,,,,
42,IL-IN,Chicago-Gary-Lake County,1,.,1,3,.,.,"8,757", ,484,322, ,"8,757",,,,,
43,KY-WV,Ashland-Huntington,.,.,1,.,.,., , ,49, , ,49,,,,,
44,LA,Baton Rouge,1,.,.,.,.,.,636, , , , ,636,,,,,
45,MA,Boston-Lawrence,1,.,.,.,.,.,"5,883",,,,,"5,883",,,,,
46,MA,Springfield (W. Mass),1,.,.,.,.,.,814, , , , ,814,,,,,
47,MD,Baltimore,1,.,.,.,.,.,"2,512", , , , ,"2,512",,,,,
48,MD,Kent and Queen Anne Cos.,1,.,.,.,.,.,59,,,,,59,,,,,
49,ME,Knox/Lincoln County,1,.,.,.,.,.,73,,,,,73,,,,,
50,ME,Lewiston-Auburn,1,.,.,.,.,.,220,,,,,220,,,,,
51,ME,Portland,1,.,.,.,.,.,487,,,,,487,,,,,
52,MO,Liberty-Arcadia,.,.,.,.,1,., , , , ,6,6,,,,,
53,MO-IL,St. Louis,1,.,.,.,g1,.,"2,482", , ,,2,"2,482",,,,,
54,MT,Billings/Laurel (Yellowstone Co.),.,.,1,.,.,., , ,6, , ,6,,,,,
55,MT,Butte,.,.,.,1,.,., , , ,34, ,34,,,,,
56,MT,Columbia Falls,.,.,.,.,.,1, , , ,3, ,3,,,,,
57,MT,East Helena (Lewis & Clark Co.),.,.,1,.,1,., , ,2, ,2,2,,,,,
58,MT,Kalispell,.,.,.,1,.,., , , ,15, ,15,,,,,
59,MT,Lame Deer,.,.,.,.,1,., , , ,0, ,0,,,,,
60,MT,Libby,.,.,.,1,.,., , , ,3, ,3,,,,,
61,MT,Missoula,.,1,.,1,.,., ,52, ,52, ,52,,,,,
62,MT,Polson,.,.,.,1,.,., , , ,3, ,3,,,,,
63,MT,Ronan,.,.,.,1,.,., , , ,2, ,2,,,,,
64,MT,Thompson Falls,.,.,.,1,.,., , , ,1, ,1,,,,,
65,MT,Whitefish,.,.,.,1,.,., , , ,5, ,5,,,,,
66,NH,Manchester,1,.,.,.,.,.,364,,,,,364,,,,,
67,NH,Portsmouth-Dover-Rochester,1,.,.,.,.,.,192,,,,,192,,,,,
68,NJ,Atlantic City,1,.,.,.,.,.,354,,,,,354,,,,,
69,NM,Anthony,.,.,.,1,.,., , , ,2, ,2,,,,,
70,NM,Grant Co.,.,.,1,.,.,., , ,31, , ,31,,,,,
71,NM,Sunland Park,f1,.,.,.,.,.,10, , , , ,10,,,,,
72,NV,Lake Tahoe,.,1,.,.,.,.,,29,,,,29,,,,,
73,NV,Las Vegas,.,1,.,1,.,., ,478, ,"1,375", ,"1,375",,,,,
74,NV,Reno,1,1,.,1,.,.,339,178, ,339, ,339,,,,,
75,NY ,Albany-Schenectady,1,.,.,.,.,.,892,,,,,892,,,,,
76,NY,Buffalo-Niagara Falls,1,.,.,.,.,.,"1,170",,,,,"1,170",,,,,
77,NY,"Essex City, Whiteface",1,.,.,.,.,.,0,,,,,0,,,,,
78,NY,Jefferson Co.  ,1,.,.,.,.,.,111,,,,,111,,,,,
79,NY,Poughkeepsie,1,.,.,.,.,.,600,,,,,600,,,,,
80,NY-NJ-CT,New York-N. New Jersey-Long Island,1,.,.,1,.,.,"19,171",, ,"1,537", ,"19,171",,,,,
81,OH,Cleveland-Akron-Lorain,.,.,1,,.,., , ,"1,095",, ,"1,095",,,,,
82,OH,Lucas Co. (Toledo),.,.,1,.,.,., , ,455, , ,455,,,,,
83,OH-KY,Cincinnati-Hamilton,1,.,.,.,.,.,"1,514",,,,,"1,514",,,,,
84,OH-PA,Youngstown-Warren,1,.,.,.,.,.,120,,,,,120,,,,,
85,OR,Grants Pass,.,.,.,1,.,., ,, ,20, ,20,,,,,
86,OR,Klamath Falls,.,.,.,1,.,., ,, ,19, ,19,,,,,
87,OR,LaGrande,.,.,.,1,.,., , , ,12, ,12,,,,,
