Table 3-8: Contributions to U.S. Gross Domestic Product (GDP): Selected Industries (Billions of chained 2009 dollars),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
"GDP by industry, total","11,684","12,226","12,706","12,826","13,060","13,401","13,876","14,320","14,701","14,918","14,833","14,419","14,731","14,946","15,243","15,437","15,776","16,149"
"Agriculture, forestry, fishing, and hunting",74,79,100,93,98,111,120,127,133,111,121,138,140,134,121,147,151,164
Mining,228,218,202,232,225,205,203,201,225,243,245,290,271,288,319,333,356,369
Utilities,250,292,302,269,266,258,266,258,264,270,275,251,274,274,272,272,262,250
Construction,705,732,760,750,729,743,769,773,753,725,662,577,551,548,568,583,589,617
"Manufacturing, durable goods",623,670,774,721,747,812,872,930,998,"1,041","1,027",874,976,"1,037","1,071","1,081","1,101","1,112"
"Manufacturing, nondurable goods",786,815,807,804,800,828,882,858,879,895,850,853,845,800,783,800,813,828
Wholesale trade,674,699,742,755,759,803,848,892,926,957,947,823,848,866,891,919,950,978
Retail trade,736,759,782,805,835,883,896,925,930,905,867,842,862,868,884,908,924,957
Transportation and warehousing,372,375,381,355,342,357,393,415,441,436,435,399,421,436,441,443,448,439
Information,403,448,426,454,505,522,586,619,634,697,732,705,735,737,746,796,827,878
"Finance, insurance, real estate, rental, and leasing","2,074","2,216","2,331","2,482","2,512","2,540","2,574","2,744","2,816","2,867","2,763","2,874","2,925","2,986","3,069","3,043","3,114","3,170"
Professional and business services,"1,281","1,341","1,413","1,447","1,467","1,507","1,547","1,612","1,658","1,702","1,778","1,661","1,718","1,783","1,856","1,868","1,946","2,039"
"Educational services, health care, and social assistance",873,896,920,946,985,"1,018","1,058","1,076","1,117","1,129","1,188","1,214","1,221","1,240","1,263","1,281","1,309","1,347"
"Arts, entertainment, recreation, accommodation, and food services",467,492,519,503,516,532,556,558,571,572,558,522,541,562,576,589,607,617
"Other services, except government",384,388,396,363,372,361,367,367,369,360,348,330,324,323,329,327,335,339
"Government, total","1,812","1,835","1,871","1,890","1,925","1,948","1,966","1,982","1,995","2,016","2,052","2,066","2,080","2,071","2,066","2,048","2,045","2,038"
"Government, federal","1,775","1,769","1,788","1,776","1,817","1,859","1,897","1,914","1,926","1,943","2,002","2,066","2,119","2,118","2,107","2,048","2,027","2,014"
"Government, state and local","1,232","1,258","1,287","1,312","1,336","1,347","1,354","1,365","1,374","1,390","1,408","1,402","1,399","1,389","1,388","1,387","1,390","1,387"
Percent of GDP,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, fishing, and hunting",0.63,0.65,0.79,0.72,0.75,0.83,0.86,0.89,0.91,0.75,0.82,0.95,0.95,0.89,0.79,0.95,0.96,1.02
Mining,1.95,1.78,1.59,1.81,1.73,1.53,1.46,1.41,1.53,1.63,1.65,2.01,1.84,1.93,2.09,2.16,2.25,2.29
Utilities,2.14,2.39,2.38,2.10,2.04,1.92,1.92,1.80,1.80,1.81,1.85,1.74,1.86,1.83,1.78,1.76,1.66,1.55
Construction,6.04,5.99,5.98,5.85,5.58,5.54,5.54,5.40,5.12,4.86,4.46,4.00,3.74,3.66,3.73,3.78,3.73,3.82
"Manufacturing, durable goods",5.33,5.48,6.09,5.62,5.72,6.06,6.28,6.49,6.79,6.98,6.93,6.06,6.62,6.94,7.02,7.00,6.98,6.89
"Manufacturing, nondurable goods",6.73,6.66,6.35,6.27,6.12,6.18,6.36,5.99,5.98,6.00,5.73,5.91,5.74,5.35,5.14,5.18,5.15,5.13
Wholesale trade,5.77,5.72,5.84,5.89,5.81,5.99,6.11,6.23,6.30,6.42,6.39,5.71,5.76,5.79,5.84,5.95,6.02,6.05
Retail trade,6.30,6.21,6.15,6.28,6.40,6.59,6.46,6.46,6.33,6.06,5.84,5.84,5.85,5.80,5.80,5.88,5.86,5.93
Transportation and warehousing,3.19,3.07,3.00,2.77,2.62,2.66,2.83,2.90,3.00,2.93,2.93,2.77,2.86,2.92,2.89,2.87,2.84,2.72
Information,3.45,3.66,3.36,3.54,3.87,3.89,4.22,4.32,4.31,4.67,4.93,4.89,4.99,4.93,4.89,5.16,5.24,5.44
"Finance, insurance, real estate, rental, and leasing",17.75,18.13,18.34,19.35,19.23,18.95,18.55,19.16,19.15,19.22,18.63,19.93,19.86,19.98,20.13,19.71,19.74,19.63
Professional and business services,10.96,10.97,11.12,11.28,11.23,11.25,11.15,11.26,11.28,11.41,11.99,11.52,11.66,11.93,12.18,12.10,12.34,12.62
"Educational services, health care, and social assistance",7.47,7.33,7.24,7.37,7.54,7.59,7.62,7.52,7.60,7.57,8.01,8.42,8.29,8.30,8.29,8.30,8.30,8.34
"Arts, entertainment, recreation, accommodation, and food services",4.00,4.02,4.09,3.92,3.95,3.97,4.01,3.90,3.89,3.84,3.76,3.62,3.67,3.76,3.78,3.81,3.84,3.82
"Other services, except government",3.29,3.17,3.12,2.83,2.85,2.70,2.64,2.57,2.51,2.42,2.34,2.29,2.20,2.16,2.16,2.12,2.12,2.10
"Government, total",15.51,15.01,14.73,14.73,14.74,14.54,14.17,13.84,13.57,13.51,13.84,14.33,14.12,13.85,13.55,13.27,12.96,12.62
"Government, federal",15.19,14.47,14.07,13.85,13.91,13.87,13.67,13.36,13.10,13.02,13.49,14.33,14.38,14.17,13.82,13.26,12.85,12.47
"Government, state and local",10.54,10.29,10.13,10.23,10.23,10.05,9.75,9.53,9.35,9.31,9.49,9.72,9.50,9.29,9.10,8.99,8.81,8.59
KEY: R = revised.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,
The Bureau Economic Analysis has changed the reference year for chained dollar estimates from 1999 onward as part of the comprehensive revision of the national income and product accounts in 2014. ,,,,,,,,,,,,,,,,,,
"Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. ",,,,,,,,,,,,,,,,,,
"This table (Chained 2009 dollars) is not comparable with the previous'  version (Chained 2005 dollars). Chained 2005 dollars estimates for earlier years can be found in the 2013 edition of NTS, table 3-8.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, Industry Economic Accounts, available at http://www.bea.gov/iTable/iTable.cfm?ReqID=51&step=1#reqid=51&step=51&isuri=1&5101=1&5114=a&5113=22r&5112=1&5111=1998&5102=16 as of April 21, 2016. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
