Table 1-33:  Age and Availability of Amtrak Locomotive and Car Fleets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,2015
Locomotives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent available for servicea,U,87.0,83.0,93.0,84.0,86.0,83.0,84.0,85.0,88.0,88.0,88.0,88.0,90.0,89.0,U,U,83.0,81.5,83.4,84.8,86.3,85.4,84.9,85.5,84.2,83.7,80.3,82.5,82.0
Average age (years)b,22.3,14.4,7.4,7.0,12.0,13.0,13.0,13.2,13.4,13.9,14.4,12.0,12.6,12.8,11.2,13.9,13.6,14.8,15.7,16.5,17.5,18.6,19.6,20.6,19.1,20.0,21.0,21.9,21.5,21.1
Passenger and other train cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent available for servicea,U,82.0,77.0,90.0,90.0,92.0,90.0,89.0,88.0,90.0,90.0,91.0,93.0,91.0,91.0,U,U,87.2,83.9,84.4,85.1,85.9,86.3,87.2,88.5,87.7,88.7,89.1,89.1,88.8
Average age (years)b,22.0,24.7,14.3,14.2,20.0,21.0,21.5,22.6,22.4,21.8,20.7,19.8,21.1,22.2,19.4,18.5,18.7,19.3,20.5,21.5,22.5,23.5,24.5,25.5,25.6,26.5,27.7,28.6,29.6,30.7
KEY:  R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Year-end daily average. Active units less backshop units undergoing heavy maintenance less back-ordered units undergoing progressive maintenance and running repairs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Fiscal Year-end average. Fiscal Year ends Sept. 30th of stated year.  Since 2001, only passenger car data are included in the Passenger and other train cars category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972 was Amtrak's first full fiscal year of operation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadrailers are not considered train cars for the purpose of our calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972-80: Amtrak, Amtrak Annual Report (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2000: Ibid., Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-15: Amtrak, Amtrak Active Fleet, personal communications, Aug. 20, 2009, July 1, 2010, Sept. 13, 2011, July 24, 2012, May 10, 2013, and July 19, 2013,  June 16, 2014, and July 21, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
