"Table 3-29:  Federal, State, and Local Government Transportation-Related Revenues and Expenditures, Fiscal Year (Current $ millions)",,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total government revenues,"94,148","97,054","100,652","112,144","128,299","127,545","125,004","130,936","132,237","135,876","148,097","154,526","164,888","164,396","158,587","161,782","172,674","180,175"
Federal ,"30,289","30,839","31,516","39,061","52,037","46,764","42,844","45,695","46,149","46,045","52,755","51,784","54,971","53,276","48,190","48,554","51,660","55,475"
State and local ,"63,859","66,215","69,136","73,083","76,262","80,781","82,160","85,242","86,089","89,831","95,342","102,743","109,917","111,120","110,397","113,227","121,014","124,699"
Total government expenditures,"142,991","148,701","155,284","162,944","178,873","186,420","212,580","225,700","237,468","234,587","244,518","254,207","275,256","294,048","310,836","317,316","314,377","319,817"
State and local expenditures including federal grants,"123,327","129,163","135,878","142,254","156,371","165,090","180,838","188,021","195,434","198,443","208,040","220,929","241,619","256,501","270,474","271,476","270,633","281,350"
Federal grants,"24,829","24,823","25,966","24,980","29,433","33,569","37,026","40,286","39,983","40,051","42,081","42,061","44,048","49,808","51,460","48,098","45,687","53,113"
"Federal expenditures, less grants","19,664","19,537","19,406","20,690","22,502","21,330","31,742","37,679","42,034","36,144","36,478","33,278","33,637","37,547","40,363","45,839","43,744","38,467"
NOTES,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,
"Total government expenditure is the sum of state and local expenditure including federal grants and federal expenditures, less grants. ",,,,,,,,,,,,,,,,,,
Local government receipts and outlays for highway are not included in 2007.,,,,,,,,,,,,,,,,,,
"Government transportation revenues consist of money collected by governments from transportation user charges and taxes to finance transportation programs. The following types of receipts are excluded: 1) revenues collected from users of the transportation system that are directed to the general fund and used for nontransportation purposes, 2) nontransportation general fund revenues that are used to finance transportation programs and 3) proceeds from borrowing.  ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCE ,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Government Transportation Financial Statistics 2014 avalable at http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/government_transportation_financial_statistics/2014/index.html as of August 2016. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
