Table 4-2:  U.S. Consumption of Energy from Primary Sources by Sector (Quadrillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014,2015,,,,
"Energy consumption, total",45.09,54.02,67.84,71.96,78.07,76.39,84.49,84.44,85.78,87.37,89.09,91.03,94.02,94.60,95.02,96.65,98.82,96.17,97.65,97.92,100.09,100.19,99.49,101.03,98.91,94.14,97.48,96.90,94.49,97.24,98.52,97.65,,,,
Transportation,10.56,12.40,16.06,18.21,19.66,20.04,22.37,22.06,22.36,22.66,23.31,23.80,24.38,24.70,25.21,25.89,26.50,26.22,26.79,26.83,27.76,28.20,28.64,28.77,27.40,26.60,26.98,26.63,26.14,26.67,27.05,27.64,,,,
Transportation as percent of total energy consumption,23.4,23.0,23.7,25.3,25.2,26.2,26.5,26.1,26.1,25.9,26.2,26.1,25.9,26.1,26.5,26.8,26.8,27.3,27.4,27.4,27.7,28.1,28.8,28.5,27.7,28.3,27.7,27.5,27.7,27.4,27.5,28.3,,,,
Industrial,16.98,20.12,22.97,21.43,22.59,19.44,21.18,20.82,21.76,21.75,22.39,22.72,23.41,23.69,23.18,22.95,22.82,21.79,21.80,21.53,22.41,21.41,21.53,21.36,20.53,18.75,20.28,20.45,20.73,21.25,21.36,21.23,,,,
Industrial as percent of total energy consumption,37.7,37.3,33.9,29.8,28.9,25.5,25.1,24.7,25.4,24.9,25.1,25.0,24.9,25.0,24.4,23.7,23.1,22.7,22.3,22.0,22.4,21.4,21.6,21.1,20.8,19.9,20.8,21.1,21.9,21.9,21.7,21.7,,,,
Residential and commercial,9.39,10.48,12.55,12.05,11.54,10.88,10.45,10.69,10.94,11.12,10.99,11.04,11.74,11.33,10.42,10.83,11.44,10.95,11.04,11.53,11.22,10.96,9.91,10.52,11.00,10.71,10.60,10.52,9.47,10.96,11.45,10.57,,,,
Residential and commercial  as percent of total energy consumption ,20.8,19.4,18.5,16.7,14.8,14.2,12.4,12.7,12.8,12.7,12.3,12.1,12.5,12.0,11.0,11.2,11.6,11.4,11.3,11.8,11.2,10.9,10.0,10.4,11.1,11.4,10.9,10.9,10.0,11.3,11.6,10.8,,,,
Energy input at electric utilities,8.16,11.01,16.26,20.27,24.27,26.03,30.50,30.86,30.72,31.85,32.40,33.48,34.49,34.89,36.23,36.98,38.06,37.22,38.02,38.03,38.70,39.63,39.42,40.37,39.97,38.07,39.62,39.29,38.13,38.36,38.64,38.23,,,,
Energy input at electric utilities as percent of total energy consumption,18.1,20.4,24.0,28.2,31.1,34.1,36.1,36.5,35.8,36.5,36.4,36.8,36.7,36.9,38.1,38.3,38.5,38.7,38.9,38.8,38.7,39.5,39.6,40.0,40.4,40.4,40.6,40.5,40.4,39.4,39.2,39.1,,,,
Percentage of primary demand met by petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
