Table 1-29:  Average Age of Urban Transit Vehicles (Years),,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Transit rail,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail locomotivesa,16.3,15.7,15.3,15.8,15.6,15.3,15.9,17.6,17.0,14.7,13.2,13.4,14.2,16.0,16.6,16.0,16.5,16.9,18.4,18.6,18.3,19.4,17.6,17.8,18.7,19.4
Commuter rail passenger coaches,19.1,17.6,17.3,19.3,18.6,20.1,21.4,24.1,21.6,19.4,17.5,16.9,18.1,20.1,20.5,17.9,18.6,18.6,18.9,18.7,18.3,18.9,19.4,20.0,20.8,18.8
Commuter rail self-propelled passenger cars,12.3,15.9,16.5,17.6,18.2,16.0,19.8,21.1,22.3,23.2,24.3,25.4,26.2,27.1,25.4,23.6,19.4,15.9,16.9,17.9,18.5,19.5,19.7,18.5,17.5,17.2
Heavy-rail passenger cars,17.1,16.2,16.9,17.7,17.8,15.8,19.3,20.2,21.1,22.0,22.5,22.9,21.7,20.0,19.0,19.8,20.8,21.6,21.6,20.7,19.0,18.7,19.2,19.8,20.2,20.4
Light rail vehicles (streetcars),20.6,15.2,16.6,17.0,14.9,16.7,16.8,16.0,15.9,15.7,15.7,16.1,16.4,16.3,15.6,15.5,14.5,15.3,16.1,16.4,16.4,16.8,16.5,16.2,16.4,16.7
Transit busb,,,,,,,,,,,,,,,,,,,,,,,,,,
Articulated  ,3.4,7.6,8.2,9.1,9.5,10.1,10.7,11.3,11.7,11.2,8.5,6.6,5.9,5.8,4.6,4.9,5.4,6.2,6.9,6.6,6.6,6.5,6.5,7.0,7.3,7.4
Full-size  ,8.1,8.2,8.0,8.3,8.5,8.7,8.6,8.7,8.5,8.5,8.4,8.1,7.8,7.3,7.3,7.2,7.6,7.4,(R) 7.6,(R) 7.8,(R) 7.9,(R) 7.9,8.0,8.0,8.1 ,U
Mid-size ,5.6,6.6,6.7,6.8,6.4,6.9,6.8,6.3,5.8,5.8,5.6,5.6,5.6,5.7,5.7,5.7,5.8,6.2,(R) 6.7,(R) 7.0,(R) 7.0,(R) 7.0,(R) 6.5,(R) 6.5,6.7 ,U
Small ,4.8,3.9,4.0,4.1,4.0,4.1,4.0,4.0,3.9,4.0,4.0,4.1,4.0,4.0,4.0,4.1,4.1,4.3,(R) 4.8,(R) 4.8,(R) 4.8,(R) 4.5,(R) 4.4,(R) 4.4,4.4 ,U
Trolley ,U,10.9,10.3,11.2,12.0,11.1,13.1,14.0,14.7,14.6,15.6,16.4,20.4,15.4,11.6,8.5,9.4,9.0,8.5,9.0,9.4,10.4,11.4,12.4,13.2,14.3
Other,,,,,,,,,,,,,,,,,,,,,,,,,,
Vans,3.8,2.8,3.0,3.1,3.1,3.9,3.1,3.1,3.0,2.9,3.1,3.1,3.3,4.9,3.4,3.4,3.4,3.1,3.1,3.3,3.2,3.4,3.5,3.6,3.5,3.5
Ferry boats,U,21.7,19.6,22.7,24.7,23.5,23.4,25.3,25.4,25.8,25.1,25.6,24.7,26.8,27.1,25.6,25.6,21.7,20.3,20.1,19.3,20.5,20.3,21.0,21.4,23.8
KEY: U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
a Locomotives used in Amtrak intercity passenger services are not included.,,,,,,,,,,,,,,,,,,,,,,,,,,
b Full-size buses have more than 35 seats; Mid-size buses have 25-35 seats; Small buses have fewer than 25 seats.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,
"All data, except full-size, mid-size, small, and articulated transit bus:",,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Transit Administration, National Transit Database (Washington, DC: Annual reports), table 25 and similar tables in earlier editions, available at http://www.ntdprogram.gov/ntdprogram/ as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Full-size, mid-size, small, and articulated transit bus:",,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-91: U.S. Department of Transportation, Federal Transit Administration, National Transit Database 1991 (Washington, DC: 1993), table 29 and similar tables in earlier editions. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"1992-2013: Ibid., National Transit Summaries and Trends (Washington, DC: Annual reports), table 25, available at http://www.ntdprogram.gov/ntdprogram/ as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
