"Table 3-30:  Federal, State, and Local Government Transportation-Related Revenues and Expenditures, Fiscal Year (Chained 2009 $ millions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total government revenues,"146,366","147,822","150,379","164,753","182,235","173,694","165,439","169,112","164,595","161,860","167,844","167,806","171,508","163,934","158,587","157,570","163,336","167,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ,"47,088 ","46,970 ","47,086 ","57,386 ","73,913 ","63,684 ","56,702 ","59,017 ","57,441 ","54,851 ","59,789 ","56,234 ","57,178 ","53,126 ","48,190 ","47,290 ","48,867 ","51,708 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and local ,"99,277 ","100,851 ","103,293 ","107,367 ","108,322 ","110,010 ","108,736 ","110,095 ","107,154 ","107,009 ","108,055 ","111,572 ","114,330 ","110,808 ","110,397 ","110,280 ","114,470 ","116,231 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total government expenditures,"222,298","226,484","232,003","239,385","254,070","253,871","281,343","291,504","295,575","279,447","277,121","276,054","286,308","293,221","310,836","309,055","297,376","298,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and local expenditures including federal grants,"191,728 ","196,727 ","203,009 ","208,988 ","222,108 ","224,824 ","239,333 ","242,840 ","243,256 ","236,391 ","235,779 ","239,916 ","251,320 ","255,779 ","270,474 ","264,409 ","255,998 ","262,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal grants,"38,599 ","37,807 ","38,795 ","36,698 ","41,807 ","45,714 ","49,003 ","52,031 ","49,766 ","47,710 ","47,692 ","45,676 ","45,816 ","49,668 ","51,460 ","46,846 ","43,216 ","49,506 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal expenditures, less grants","30,570 ","29,757 ","28,994 ","30,397 ","31,962 ","29,047 ","42,009 ","48,664 ","52,319 ","43,056 ","41,342 ","36,138 ","34,988 ","37,441 ","40,363 ","44,646 ","41,378 ","35,855 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total government expenditures are the sum of state and local expenditures including federal grants and federal expenditures less grants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
