"Table 2-6:  Hazardous Materials Fatalities, Injuries, Accidents, and Property Damage Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Total fatalities,27,19,8,8,10,16,15,11,7,120,12,13,9,16,12,10,15,13,34,6,9,9,13,8,13,13,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,21,14,7,7,10,15,14,11,6,7,10,8,7,11,8,9,9,12,29,6,8,6,8,5,11,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Air fatalitiesa,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway fatalities,27,17,8,8,10,16,15,11,7,8,12,13,9,16,9,9,15,10,24,6,9,6,12,8,12,13,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,21,12,7,7,10,15,14,11,6,5,10,8,7,11,8,8,9,9,19,6,8,6,7,5,11,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail  fatalities,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,3,10,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,10,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterb fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherc fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total injured persons,648,626,253,423,439,604,627,577,400,"1,175",221,195,265,251,168,136,119,288,915,234,228,223,201,169,165,185,171,163,389,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,168,47,16,18,40,98,62,111,18,864,16,13,15,16,12,15,16,96,700,13,45,9,44,4,20,18,14,6,208,,,,,,,,,,,,,,,,,,,,,,,,,,
Air injured persons,5,8,4,39,31,23,50,57,33,33,24,20,12,5,13,4,1,11,44,2,8,7,10,2,7,20,12,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway injured persons,527,493,195,311,333,465,511,425,296,216,152,151,218,164,109,118,105,155,178,192,160,153,153,152,130,147,142,134,156,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident-related,156,43,9,9,27,34,61,95,14,22,11,9,15,15,12,14,16,12,45,11,45,9,34,4,17,12,14,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rail injured personsd,e",99,121,53,73,75,116,66,95,71,926,45,22,35,82,46,14,13,122,693,25,57,63,38,13,20,18,15,14,213,,,,,,,,,,,,,,,,,,,,,,,,,,
