Table 2-8:  Reporting Thresholds for Property Damage by U.S. Department of Transportation Modal Administrations,,,,
Modal administration,Reporting threshold,,,
Federal Aviation Administration,"More than $25,000 damage to property other than the aircraft.",,,
Federal Highway Administration,None; each state defines its own threshold and FHWA collects state reports.,,,
Federal Railroad Administration,"More than $9,500 in damages to railroad on-track equipment, signals, track, track structures, and roadbed for accidents other than at grade-crossings.  No threshold for grade-crossing accidents.",,,
National Highway Traffic Safety Administration  ,"None; property-damage-only crashes are recorded through the General Estimates System, a nationally representative sample of police-reported crashes of all severities.",,,
Federal Transit Administration,"More than $25,000.",,,
Pipeline and Hazardous Materials Safety Administration ,"More than $50,000 for gas pipelines.
More than $50,000 for hazardous liquid pipelines.",,,
U. S. Coast Guard,"More than $25,000 for commercial vessels.
More than $2,000 or complete loss of vessel for recreational boats.",,,
,,,,
SOURCES,,,,
"Federal Aviation Administration:  AIM Chapter 7, Section 6 (as of August 22, 2013). ",,,,
"Federal Highway Administration: U.S. Department of Transportation, Federal Highway Administration, personal communication, Dec 2007. ",,,,
"Federal Railroad Administration: 49 CFR 225.19 (as of October 1, 2013). ",,,,
"National Highway Traffic Safety Administration: U.S. Department of Transportation, National Highway Traffic Safety Administration, Traffic Safety Facts 2006, DOT HS 810 818 (Washington, DC: 2006), available at: http://www-nrd.nhtsa.dot.gov/Pubs/810818.pdf,as of May 17, 2011.",,,,
"Federal Transit Administration: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, 2014 Safety and Security Reporting Manual (Washington, DC: 2014), available at: http://www.ntdprogram.gov/ntdprogram/pubs/safetyRM/2014/2014%20Safety%20&%20Security%20Reporting%20Manual.pdf as of Mar. 7, 2014.",,,,
Pipeline and Hazardous Materials Safety Administration:,,,,
"Gas pipeline: 49 CFR 191.3 (as of Jan. 14, 2012).",,,,
"Hazardous liquid pipelines: 49 CFR 195.50 (as of Oct. 1, 2011).",,,,
U.S. Coast Guard:,,,,
"Commercial shipping: 46 CFR 4.05-1 (as of Oct. 1, 2011).",,,,
"Recreational boating: 33 CFR 173.55 (as of Jul. 30, 2012).",,,,
