Table 2-19:  Occupant Fatalities by Vehicle Type and Nonoccupant Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
Total traffic fatalitiesa,"44,525","51,091","43,825","44,599","41,508","39,250","40,150","40,716","41,817","42,065","42,013","41,501","41,717","41,945","42,196","43,005","42,884","42,836","43,510","42,708","41,259","37,423","33,883","32,999","32,479","33,782","(R) 32,893","32,744","35,092"
Occupant fatalities (by vehicle type),"35,925","41,927","36,043","37,134","34,740","32,880","33,574","34,318","35,291","35,695","35,725","35,382","35,875","36,348","36,440","37,375","37,341","37,304","37,646","36,956","35,701","32,103","28,995","27,889","27,140","28,003","(R) 27,175","26,901","28,671"
"Passenger car, total","25,929","27,449","23,212","24,092","22,385","21,387","21,566","21,997","22,423","22,505","22,199","21,194","20,862","20,699","20,320","20,569","19,725","19,192","18,512","17,925","16,614","14,646","13,135","12,491","12,014","12,361","12,037","11,947","12,628"
Subcompactb,"3,675","7,124","7,851","8,309","7,694","7,028","6,968","7,060","6,791","6,618","6,220","5,514","4,887","4,773","4,458","4,248","3,717","3,317","2,988","2,644","2,278","1,937","1,550","1,430","1,352","1,360","1,213","1,073","1,113"
Compactc,614,927,"2,635","5,310","5,338","5,354","5,707","6,322","6,899","7,288","7,195","6,804","6,942","7,022","6,731","7,061","6,769","6,650","6,288","6,105","5,538","4,780","4,147","3,977","3,801","3,866","3,628","3,441","3,457"
Intermediated,"1,869","3,878","4,391","4,849","4,681","4,418","4,483","4,407","4,666","4,670","4,794","4,617","4,721","5,204","5,402","5,514","5,583","5,667","5,571","5,461","5,243","4,763","4,406","4,244","4,066","4,088","4,102","4,333","4,490"
Fulle,"10,800","11,577","6,586","4,635","4,040","3,796","3,675","3,560","3,413","3,417","3,481","3,106","2,887","3,184","3,208","3,262","3,233","3,161","3,287","3,293","3,190","2,965","2,858","2,678","2,647","2,860","2,838","2,883","3,065"
Other/Unknown,"8,971","3,943","1,749",989,632,791,733,648,654,512,509,"1,153","1,425",516,521,484,423,397,378,422,365,201,174,162,148,187,256,267,503
"Truckf, total","5,817","8,748","7,666","9,306","9,052","8,683","9,116","9,574","10,216","10,553","10,972","11,447","12,024","12,280","12,431","12,963","13,272","13,440","13,841","13,566","13,263","11,498","10,811","10,312","9,942","10,115","(R) 9,881","9,759","10,480"
Light,"4,856","7,486","6,689","8,601","8,391","8,098","8,511","8,904","9,568","9,932","10,249","10,705","11,265","11,526","11,723","12,274","12,546","12,674","13,037","12,761","12,458","10,816","10,312","9,782","9,302","9,418","(R) 9,186","9,103","9,813"
Large,961,"1,262",977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,695,656,667
"Other vehicles, total","4,179","5,730","5,165","3,736","3,303","2,810","2,892","2,747","2,652","2,637","2,554","2,741","2,989","3,369","3,689","3,843","4,344","4,672","5,293","5,465","5,824","5,959","5,049","5,086","5,184","5,527","5,257","5,195","5,563"
Motorcycle,"3,189","5,144","4,564","3,244","2,806","2,395","2,449","2,320","2,227","2,161","2,116","2,294","2,483","2,897","3,197","3,270","3,714","4,028","4,576","4,837","5,174","5,312","4,469","4,518","4,630","4,986","4,692","4,594","4,976"
