Table 3-5: U.S. Gross Domestic Demand (GDD) Attributed to Transportation Functions (Billions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
Gross Domestic Demand," 2,862.5 "," 4,346.7 "," 5,979.6 "," 6,174.0 "," 6,539.3 "," 6,878.7 "," 7,308.8 "," 7,664.1 "," 8,100.2 "," 8,608.5 "," 9,089.2 "," 9,660.6 "," 10,284.8 "," 10,621.8 "," 10,977.5 "," 11,510.7 "," 12,274.9 "," 13,093.7 "," 13,855.9 "," 14,477.6 "," 14,718.6 "," 14,418.7 "," 14,964.4 "," 15,517.9 "," 16,155.3 "," 16,691.5 "," 17,393.1 "," 18,036.6 "
Total domestic transportation-related final demand, 332.6 , 486.4 , 598.3 , 595.8 , 638.0 , 682.7 , 742.0 , 772.1 , 828.1 , 895.7 , 931.1 ," 1,009.4 "," 1,059.9 "," 1,052.6 "," 1,075.4 "," 1,097.3 "," 1,160.5 "," 1,248.2 "," 1,312.4 "," 1,391.1 "," 1,359.7 "," 1,175.6 "," 1,320.2 "," 1,467.1 "," 1,560.5 "," 1,608.0 "," 1,661.1 "," 1,630.6 "
Total transportation in GDD (percent), 11.6 , 11.2 , 10.0 , 9.7 , 9.8 , 9.9 , 10.2 , 10.1 , 10.2 , 10.4 , 10.2 , 10.4 , 10.3 , 9.9 , 9.8 , 9.5 , 9.5 , 9.5 , 9.5 , 9.6 , 9.2 , 8.2 , 8.8 , 9.5 , 9.7 , 9.6 , 9.6 , 9.0 
"Personal consumption of transportation, total", 226.5 , 357.4 , 442.9 , 418.3 , 451.3 , 485.3 , 528.2 , 554.0 , 599.0 , 641.8 , 668.6 , 729.0 , 795.3 , 810.5 , 813.1 , 846.0 , 899.3 , 960.8 , 993.0 ," 1,032.7 "," 1,009.6 ", 867.0 , 942.2 ," 1,052.0 "," 1,105.8 "," 1,136.2 "," 1,168.1 "," 1,116.2 "
Motor vehicles and parts, 84.4 , 170.1 , 205.1 , 185.7 , 204.8 , 224.7 , 249.8 , 255.7 , 273.5 , 293.1 , 320.2 , 350.7 , 363.2 , 383.3 , 401.3 , 401.5 , 409.3 , 410.0 , 395.0 , 400.6 , 339.6 , 317.1 , 342.0 , 363.5 , 395.8 , 416.1 , 442.8 , 464.8 
Gasoline and oil, 86.7 , 97.2 , 111.4 , 108.9 , 112.9 , 114.5 , 116.5 , 120.4 , 130.5 , 134.4 , 120.8 , 134.2 , 168.6 , 162.5 , 153.6 , 179.0 , 213.4 , 261.4 , 295.9 , 319.9 , 358.3 , 260.2 , 307.3 , 380.4 , 390.5 , 385.6 , 371.2 , 283.0 
Transportation services, 55.4 , 90.1 , 126.4 , 123.7 , 133.6 , 146.1 , 161.9 , 177.9 , 195.0 , 214.3 , 227.6 , 244.1 , 263.5 , 264.7 , 258.2 , 265.5 , 276.6 , 289.4 , 302.1 , 312.2 , 311.7 , 289.7 , 292.9 , 308.1 , 319.5 , 334.5 , 354.1 , 368.4 
"Gross private domestic investment, total", 51.6 , 73.7 , 73.4 , 74.6 , 78.3 , 93.3 , 111.9 , 120.5 , 128.6 , 141.6 , 154.3 , 180.9 , 177.6 , 161.2 , 148.4 , 140.7 , 166.0 , 186.7 , 203.0 , 197.8 , 156.1 , 79.7 , 137.4 , 183.4 , 224.0 , 251.6 , 284.0 , 321.6 
Transportation structures, 3.2 , 4.7 , 3.4 , 3.1 , 3.6 , 3.9 , 4.2 , 4.4 , 5.4 , 6.1 , 7.2 , 6.5 , 6.8 , 7.0 , 6.8 , 6.6 , 6.8 , 7.1 , 8.7 , 9.0 , 9.9 , 9.1 , 9.9 , 9.5 , 10.9 , 11.0 , 12.2 , 13.5 
Transportation equipment , 48.4 , 69.0 , 70.0 , 71.5 , 74.7 , 89.4 , 107.7 , 116.1 , 123.2 , 135.5 , 147.1 , 174.4 , 170.8 , 154.2 , 141.6 , 134.1 , 159.2 , 179.6 , 194.3 , 188.8 , 146.2 , 70.6 , 127.5 , 173.9 , 213.1 , 240.6 , 271.8 , 308.1 
"Government transportation-related purchases, total", 60.2 , 84.0 , 111.9 , 123.7 , 122.9 , 126.8 , 133.2 , 135.5 , 140.8 , 148.3 , 155.4 , 167.3 , 179.8 , 194.4 , 205.3 , 220.3 , 225.7 , 236.8 , 250.3 , 269.9 , 288.5 , 297.1 , 304.2 , 309.3 , 307.5 , 305.3 , 314.1 , 329.1 
Federal purchasesa, 7.4 , 10.5 , 12.8 , 14.5 , 15.3 , 16.2 , 17.5 , 16.5 , 17.2 , 17.5 , 18.5 , 18.5 , 19.0 , 20.6 , 24.8 , 29.1 , 28.4 , 29.8 , 31.5 , 31.4 , 34.9 , 35.9 , 38.9 , 40.9 , 41.7 , 39.0 , 39.4 , 41.2 
