Table 3-4: U.S. Gross Domestic Product (GDP) Attributed to Transportation Functions (Billions of chained 2009 dollars),,,,,,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
Gross Domestic Product,"12,065.9","12,559.7","12,682.2","12,908.8","13,271.1","13,773.5","14,234.2","14,613.8","14,873.7","14,830.4","14,418.7","14,783.8","15,020.6","15,354.6","15,612.2","15,982.3","16,397.2"
Total transportation-related final demanda,"1,354.4","1,347.9","1,336.2","1,358.1","1,350.9","1,368.8","1,374.3","1,371.9","1,392.6","1,284.7","1,175.6","1,251.2","1,288.8","1,343.6","1,382.7","1,431.8","1,484.8"
Total transportation in GDP (percent),11.2,10.7,10.5,10.5,10.2,9.9,9.7,9.4,9.4,8.7,8.2,8.5,8.6,8.8,8.9,9.0,9.1
"Personal consumption of transportation, total",923.6,945.0,960.3,971.2,984.7,"1,007.9","1,007.7",994.6,"1,005.0",924.5,867.0,870.4,882.6,910.8,942.1,980.1,"1,020.7"
Motor vehicles and parts,335.8,346.4,364.1,383.3,394.6,405.5,400.0,385.1,392.8,340.8,317.1,323.4,333.8,359.1,375.7,399.5,419.4
"Motor vehicle fuels, lubricants, and fluids",270.3,265.8,265.7,267.1,267.2,270.9,273.0,274.0,273.2,262.4,260.2,259.9,254.7,252.5,257.6,257.7,266.6
Transportation services,317.5,332.8,330.5,320.8,322.9,331.5,334.7,335.5,339.0,321.3,289.7,287.1,294.1,299.2,308.8,322.9,334.7
"Gross private domestic investment, total",217.0,212.9,193.6,175.4,162.5,184.3,205.8,221.9,213.0,166.9,79.7,146.7,192.3,229.3,253.4,282.1,314.4
Transportation structures,8.6,8.8,8.7,8.2,7.7,7.8,7.9,9.3,9.4,10.0,9.1,9.8,9.3,10.4,10.4,11.2,12.2
Transportation equipment,208.4,204.1,184.9,167.2,154.8,176.5,197.9,212.6,203.6,156.9,70.6,136.9,183.0,218.9,243.0,270.9,302.2
"Exports ( + ), total",223.3,217.0,208.5,207.0,197.4,206.1,226.0,244.9,269.5,268.7,218.7,247.5,273.3,295.8,311.6,324.1,321.1
"Civilian aircraft, engines, and parts",80.7,69.9,72.3,67.5,60.5,57.6,66.9,74.2,80.3,77.7,74.8,70.1,75.5,86.2,94.2,98.4,101.2
"Automotive vehicles, engines, and parts",82.2,86.8,81.1,84.4,85.6,94.1,102.5,110.4,123.4,122.3,81.7,111.5,130.1,140.5,145.9,151.9,144.5
Transport,60.4,60.3,55.1,55.1,51.3,54.4,56.6,60.3,65.8,68.7,62.2,65.9,67.7,69.1,71.5,73.8,75.4
"Imports ( - ), total",297.5,321.7,314.1,317.5,322.4,345.4,358.8,380.1,386.5,350.6,254.0,323.0,349.6,389.9,410.5,436.2,467.4
"Civilian aircraft, engines, and parts",35.1,37.7,43.1,34.2,31.6,30.9,31.6,33.5,38.6,37.5,30.7,30.5,33.3,35.2,40.4,45.2,46.3
"Automotive vehicles, engines, and parts",195.9,211.9,205.0,219.6,225.3,241.1,250.1,267.1,267.1,235.5,159.2,224.2,245.8,282.2,293.8,314.6,341.1
Transport,66.5,72.1,66.0,63.7,65.5,73.4,77.1,79.5,80.8,77.6,64.1,68.3,70.5,72.5,76.3,76.4,80.0
Net exports of transportation-related goods and servicesb,-74.2,-104.7,-105.6,-110.5,-125.0,-139.3,-132.8,-135.2,-117.0,-81.9,-35.3,-75.5,-76.3,-94.1,-98.9,-112.1,-146.3
"Government transportation-related purchases, total",275.7,283.0,297.1,304.8,315.8,308.3,296.5,291.3,288.7,287.4,297.1,297.9,289.0,277.1,269.9,274.0,289.1
Federal purchasesc,25.5,25.3,26.9,31.2,35.3,33.2,33.3,34.0,32.6,35.3,35.9,37.8,38.6,38.9,35.8,35.6,36.9
State and local purchasesc,237.5,245.5,257.5,261.0,261.0,256.0,245.5,241.6,235.5,232.5,238.7,236.0,228.1,221.4,220.7,225.8,240.4
Defense-related purchasesd,12.7,12.2,12.7,12.6,19.5,19.1,17.7,15.7,20.6,19.6,22.5,24.1,22.3,16.8,13.4,12.6,11.8
Change in Private Inventories by Industry,12.3,11.7,-9.2,17.2,12.9,7.6,-2.9,-0.7,2.9,-12.2,-32.9,11.7,1.2,20.5,16.2,7.7,6.9
KEY: R = revised.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"a Sum of total Personal consumption of transportation, total Gross private domestic investment, Net exports of transportation-related goods and services and total Government transportation-related purchases.",,,,,,,,,,,,,,,,,
